Statute,Type of Information Withheld,Case Citation,Number of Times Relied upon per Component,Number of Times Relied upon per Component,Total Number of Times Relied upon by Agency
"Title VII of the Civil Rights Act of 1964, 42 U.S.C. Sections 2000e-5 and 2000e-8.","Title VII charges conciliation materials, required and case file information","EEOC v. Associated Dry Good Corp., 449 U.S. 590 (1981)",29,ATLANTA,2497
"Title VII of the Civil Rights Act of 1964, 42 U.S.C. Sections 2000e-5 and 2000e-8.","Title VII charges conciliation materials, required and case file information","EEOC v. Associated Dry Good Corp., 449 U.S. 590 (1981)",241,BIRMINGHAM,2497
"Title VII of the Civil Rights Act of 1964, 42 U.S.C. Sections 2000e-5 and 2000e-8.","Title VII charges conciliation materials, required and case file information","EEOC v. Associated Dry Good Corp., 449 U.S. 590 (1981)",24,CHARLOTTE,2497
"Title VII of the Civil Rights Act of 1964, 42 U.S.C. Sections 2000e-5 and 2000e-8.","Title VII charges conciliation materials, required and case file information","EEOC v. Associated Dry Good Corp., 449 U.S. 590 (1981)",45,CHICAGO,2497
"Title VII of the Civil Rights Act of 1964, 42 U.S.C. Sections 2000e-5 and 2000e-8.","Title VII charges conciliation materials, required and case file information","EEOC v. Associated Dry Good Corp., 449 U.S. 590 (1981)",171,DALLAS,2497
"Title VII of the Civil Rights Act of 1964, 42 U.S.C. Sections 2000e-5 and 2000e-8.","Title VII charges conciliation materials, required and case file information","EEOC v. Associated Dry Good Corp., 449 U.S. 590 (1981)",61,HOUSTON,2497
"Title VII of the Civil Rights Act of 1964, 42 U.S.C. Sections 2000e-5 and 2000e-8.","Title VII charges conciliation materials, required and case file information","EEOC v. Associated Dry Good Corp., 449 U.S. 590 (1981)",425,INDIANAPOLIS,2497
"Title VII of the Civil Rights Act of 1964, 42 U.S.C. Sections 2000e-5 and 2000e-8.","Title VII charges conciliation materials, required and case file information","EEOC v. Associated Dry Good Corp., 449 U.S. 590 (1981)",94,LOS ANGELES,2497
"Title VII of the Civil Rights Act of 1964, 42 U.S.C. Sections 2000e-5 and 2000e-8.","Title VII charges conciliation materials, required and case file information","EEOC v. Associated Dry Good Corp., 449 U.S. 590 (1981)",318,MEMPHIS,2497
"Title VII of the Civil Rights Act of 1964, 42 U.S.C. Sections 2000e-5 and 2000e-8.","Title VII charges conciliation materials, required and case file information","EEOC v. Associated Dry Good Corp., 449 U.S. 590 (1981)",247,MIAMI,2497
"Title VII of the Civil Rights Act of 1964, 42 U.S.C. Sections 2000e-5 and 2000e-8.","Title VII charges conciliation materials, required and case file information","EEOC v. Associated Dry Good Corp., 449 U.S. 590 (1981)",33,NEW YORK,2497
"Title VII of the Civil Rights Act of 1964, 42 U.S.C. Sections 2000e-5 and 2000e-8.","Title VII charges conciliation materials, required and case file information","EEOC v. Associated Dry Good Corp., 449 U.S. 590 (1981)",96,OLC/HDQ,2497
