Component,Ex. 1,Ex. 2,Ex. 3,Ex. 4,Ex. 5,Ex. 6,Ex. 7(A),Ex. 7(B),Ex. 7(C),Ex. 7(D),Ex. 7(E),Ex. 7(F),Ex. 8,Ex. 9,
AF,58,150,266,430,320,1417,109,20,807,107,13,8,0,0,
AFRICOM,0,0,1,0,1,1,0,0,0,0,0,0,0,0,
ARMY,80,2154,356,857,869,6933,493,5,4093,126,14,10,0,0,
CENTCOM,58,68,60,0,22,78,3,0,1,0,0,0,0,0,
DCAA,0,3,0,2,5,16,4,0,0,0,0,0,0,0,
DCMA,0,2,3,16,3,31,0,0,0,0,0,0,0,0,
DeCA,0,0,2,4,1,1,0,0,0,0,0,0,0,0,
DFAS,0,1,0,14,2,42,0,0,0,0,0,0,0,0,
DIA,191,294,387,26,50,89,2,0,12,11,8,2,0,0,
DISA,1,51,8,33,8,29,0,0,0,0,0,0,0,0,
DLA,0,2,27,89,112,48,2,0,13,0,0,0,0,0,
DoDEA,0,2,14,7,9,21,0,1,5,0,1,0,0,0,
DoDIG,9,80,13,2,49,188,49,4,167,3,50,0,0,0,
DSS,0,3,0,0,0,6,0,0,0,1,0,0,0,0,
DTIC,0,1,0,1,1,1,0,0,0,0,0,0,0,0,
DTRA,1,58,8,51,0,75,0,0,0,0,0,0,0,0,
EUCOM,19,1,9,1,9,0,0,0,0,0,1,0,0,0,
JFCOM,7,4,1,0,2,11,0,0,1,0,0,0,0,0,
NAVY,44,164,498,294,264,3424,192,10,1974,27,22,2,0,0,
NGA,42,2,21,10,0,15,1,0,0,0,0,0,0,0,
NGB,0,1,0,0,3,7,0,0,0,0,0,0,0,0,
NORTHCOM,8,10,2,2,5,14,0,0,1,0,0,0,0,0,
NRO,56,4,69,5,2,27,2,1,6,2,2,1,0,0,
NSA,415,61,580,12,15,101,2,1,6,6,5,1,0,0,
OSD/JS,135,161,75,76,99,239,12,3,25,2,4,6,0,0,
PACOM,21,9,13,0,3,6,0,0,0,0,0,0,0,0,
SOCOM,5,16,20,8,4,19,2,0,1,0,0,0,0,0,
SOUTHCOM,103,40,59,0,20,127,0,0,0,0,0,0,0,0,
STRATCOM,8,16,1,0,7,17,0,0,0,0,0,0,0,0,
TRANSCOM,18,2,10,63,2,91,0,0,0,0,0,0,0,0,
TRICARE,0,4,9,17,8,9,2,0,1,1,1,0,0,0,
Total,1279,3364,2512,2020,1895,13083,875,45,7113,286,121,30,0,0,
