Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,
AF,19,3,1,0,1,0,0,0,0,0,0,0,0,24,
AFRICOM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ARMY,4127,32,4,1,1,0,0,0,0,0,0,0,0,4165,
ASBCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CENTCOM,1,0,0,0,0,0,0,0,0,0,0,1,0,2,
DCAA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
DCMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
DeCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
DFAS,3,0,0,0,0,0,0,0,0,0,0,0,0,3,
DIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
DISA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
DLA,4,0,1,0,0,0,0,0,0,0,0,0,0,5,
DoDEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
DoDIG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
DSS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
DTIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
DTRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
EUCOM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
JFCOM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
NAVY,28,6,0,0,0,0,0,0,0,0,0,0,0,34,
NGA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
NGB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
NORTHCOM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
NRO,2,0,0,0,0,0,0,0,0,0,0,0,0,2,
NSA,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
OSD/JS,0,0,0,0,0,0,0,0,0,0,0,0,1,1,
PACOM,2,0,0,0,0,0,0,1,0,0,0,1,0,4,
SOCOM,0,0,0,0,0,0,0,0,0,0,0,0,1,1,
SOUTHCOM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
STRATCOM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
TRANSCOM,4,0,0,0,0,0,0,0,0,0,0,0,0,4,
TRICARE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Total,4190,41,6,2,2,0,0,1,0,0,0,2,2,4246,
