Component,Processing Costs,Litigation-Related Costs,Total Costs,Collected Amount,Collected Percentage,
OGC,359913,0,359913,2728.14,0.76%,
OIG,38455,0,38455,900,2.34%,
Total,398368,0,398368,3628,N/A,
