Component,Processing Costs,Litigation-Related Costs,Total Costs,Collected Amount,Collected Percentage,
AFRC,18605.88,0,18605.88,30,0.16%,
ARC,64642.24,0,64642.24,135,0.21%,
GRC,12526,0,12526,619.5,4.95%,
GSFC,93257.27,0,93257.27,1510.54,1.62%,
HQ,312511.68,0,312511.68,133.5,0.04%,
JPL,88687.49,0,88687.49,423.75,0.48%,
JSC,186908.02,0,186908.02,5299.54,2.84%,
KSC,159669.25,0,159669.25,937.2,0.59%,
LaRC,74568.19,0,74568.19,970.89,1.3%,
MSFC,111131.58,0,111131.58,682.5,0.61%,
NSSC,46004.19,0,46004.19,480,1.04%,
OGC,18750,0,18750,0,0.0%,
OIG,29290,0,29290,0,0.0%,
SSC,16389.92,0,16389.92,157.5,0.96%,
Total,1232942,0,1232942,11380,N/A,
