Component,Simple - Median No. of Days,Simple - Average No. of Days,Simple - Lowest No. of Days,Simple - Highest No. of Days,Complex - Median No. of Days,Complex - Average No. of Days,Complex - Lowest No. of Days,Complex - Highest No. of Days,Expedited - Median No. of Days,Expedited - Average No. of Days,Expedited - Lowest No. of Days,Expedited - Highest No. of Days,
BIA,2,3,,13,,,,689,,,,,
BLM,3,3,1,7,,,,415,4,5,4,7,
BOR,11,11,1,20,,,,413,2,2,1,3,
FWS,6,9,,36,,,,624,3,8,1,29,
MMS,1,1,1,1,,,,284,,,,,
NPS,3,6,,20,,,,596,6,10,2,27,
OIG,61,83,22,189,,,8,2970,,,,,
OS,1,1,,3,,,,357,13,13,,25,
OSM,,,,,,,,154,,,,,
SOL,,,,,,,2,376,,,,,
USGS,,,,,,,,166,,,,,
Total,2,4,0,189,0,0,0,2970,4,7,0,29,
