Component,Simple - Median No. of Days,Simple - Average No. of Days,Simple - Lowest No. of Days,Simple - Highest No. of Days,Complex - Median No. of Days,Complex - Average No. of Days,Complex - Lowest No. of Days,Complex - Highest No. of Days,Expedited - Median No. of Days,Expedited - Average No. of Days,Expedited - Lowest No. of Days,Expedited - Highest No. of Days,
BIA,1,3,,36,14,24,,508,,,,,
BLM,5,5,,22,30,58,,887,,,,,
BOEM,4,4,1,6,17,64,,389,,,,,
BOR,3,4,,11,15,22,,167,,,,,
BSEE,,,,,33,70,3,775,819,819,819,819,
FWS,1,3,,13,19,37,,522,,,,,
NPS,1,2,,8,15,37,,786,11,17,4,49,
OIG,,,,1,36,180,,1316,382,295,58,488,
OS,6,6,6,6,22,57,,925,31,253,11,718,
OSM,,,,,20,40,1,233,,,,,
SOL,6,6,6,6,29,164,1,1279,,,,,
USGS,1,1,1,1,15,41,,227,,,,,
Total,1,3,0,36,18,42,0,1316,40,196,0,819,
