Component,Simple,Simple,Simple,Simple,Complex,Complex,Complex,Complex,Expedited,Expedited,Expedited,Expedited
,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,
AFRC,11,11.4,3,20,29,27.8,21,36,,,,,
ARC,4,7.29,,20,32.5,52.85,11,350,,,,,
GRC,,4,,12,16,21.33,1,46,,,,,
GSFC,9,10.36,,30,30,36.13,,95,,,,,
HQ,4,7.03,,39,12,19.97,1,90,,,,,
JPL,3,2.8,,6,16,16.33,12,21,,,,,
JSC,2,4.79,,23,34.5,39.74,2,99,,,,,
KSC,3,9.78,,48,49,43.05,,131,,,,,
LaRC,2.5,2.25,1,3,22.5,22.25,4,44,,,,,
MSFC,3,7.02,,20,29,33.75,23,54,,,,,
NSSC,26,27,19,36,32,31,20,42,,,,,
OIG,17,15.38,3,20,18.5,20.5,10,39,,,,,
SSC,15,11.67,,20,,,,,,,,,
Total,4,8,0,48,25,33,0,350,0,0,0,0,
