Component,Simple - Median No. of Days,Simple - Average No. of Days,Simple - Lowest No. of Days,Simple - Highest No. of Days,Complex - Median No. of Days,Complex - Average No. of Days,Complex - Lowest No. of Days,Complex - Highest No. of Days,Expedited - Median No. of Days,Expedited - Average No. of Days,Expedited - Lowest No. of Days,Expedited - Highest No. of Days,
BIA,99,1,,24,12,23,,907,10,46,1,238,
BLM,4,7,,26,30,56,,990,,,,,
BOEM,5,8,,46,64,70,1,316,54,54,21,86,
BOR,3,3,,28,19,30,,273,,,,,
BSEE,2,4,1,8,22,39,1,293,4,4,4,4,
FWS,2,4,,37,20,49,,1109,9,9,1,17,
NPS,4,39,,1004,21,52,,1157,69,82,,227,
OIG,1,3,,28,24,86,,856,,,,,
OS,99,99,,1,14,59,,1008,313,224,8,479,
OSM,99,99,,99,21,57,3,506,6,6,6,6,
SOL,18,18,1,51,92,226,,1130,,,,,
USGS,1,5,,14,20,60,,445,,,,,
Total,1,10,0,1004,19,46,0,1157,17,82,0,479,
