Component,Simple,Simple,Simple,Simple,Complex,Complex,Complex,Complex,Expedited,Expedited,Expedited,Expedited
,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,
AF,13,18,,1343,43,91,,1226,29,46,12,123,
AFRICOM,67,68,21,117,215,185,47,826,,,,,
ARMY,3,5,,20,21,38,,1785,7,15,,139,
ASBCA,16,13,1,22,,,,,,,,,
CENTCOM,105,99,3,173,145,179,15,1011,35,195,9,860,
DCAA,12,11,1,20,22,22,15,30,,,,,
DCMA,13,14,1,41,64,117,22,917,,,,,
DeCA,3,9,,80,0,0,0,0,,,,,
DFAS,9,12,1,62,19,26,3,124,,,,,
DHA,41,59,6,180,57,63,18,158,,,,,
DIA,4,7,4,14,360,917,24,3517,,,,,
DISA,5,13,1,78,18,17,7,47,,,,,
DLA,1,3,1,27,10,14,1,89,,,,,
DoD IG,4,10,1,67,208,342,1,2481,96,210,67,542,
DoDEA,15,16,5,27,32,35,18,66,,,,,
DSS,7,5,1,20,,,,,,,,,
DTIC,10,11,1,20,26,40,21,73,,,,,
DTRA,,,,,135,151,,464,,,,,
EUCOM,8,17,1,27,47,31,18,523,,,,,
JPRA,19,19,18,20,58,58,53,64,,,,,
NAVY,10,47,1,3036,55,119,1,1371,11,47,1,328,
NGA,7,7,7,7,206,183,,1079,25,25,25,25,
NGB,13,13,9,17,287,255,14,695,,,,,
NORTHCOM,15,10,1,23,216,216,216,216,,,,,
NRO,6,7,,22,100,188,21,1676,,,,,
NSA,18,54,1,613,636,567,2,3221,,,,,
OSD/JS,6.5,7.96,,20,204,582.93,21,2966,11.5,11.5,6,17,
PACOM,6,6,6,6,101,454,1,2337,,,,,
SOCOM,7,8,1,19,178,374,21,1505,,,,,
SOUTHCOM,4,2,,17,207,296,23,2019,,,,,
STRATCOM,9,10,1,19,56,95,23,294,,,,,
TRANSCOM,,,,,208,320,8,1059,32,32,27,36,
Total,14,18,0,3036,123,187,0,3517,7,17,0,860,
