Component,Simple - Median No. of Days,Simple - Average No. of Days,Simple - Lowest No. of Days,Simple - Highest No. of Days,Complex - Median No. of Days,Complex - Average No. of Days,Complex - Lowest No. of Days,Complex - Highest No. of Days,Expedited - Median No. of Days,Expedited - Average No. of Days,Expedited - Lowest No. of Days,Expedited - Highest No. of Days,
ATLANTA,1,2.44,1,245,,,,,,,,,
BIRMINGHAM,21,20.74,1,45,,,,,,,,,
CHARLOTTE,19,19.86,1,46,,,,,,,,,
CHICAGO,15,14.43,1,50,,,,,,,,,
DALLAS,8,20.15,1,168,,,,,,,,,
HOUSTON,12.5,24.72,1,154,,,,,,,,,
INDIANAPOLIS,6,6.38,1,25,,,,,,,,,
LOS ANGELES,2,2.73,1,12,,,,,,,,,
MEMPHIS,15,15.1,1,59,,,,,,,,,
MIAMI,18,19.49,1,50,,,,,,,,,
NEW YORK,21,23.32,1,76,,,,,,,,,
OLC/HDQ,24,31.22,1,357,,,,,,,,,
PHILADELPHIA,29,33.62,1,86,,,,,,,,,
PHOENIX,40,40.11,1,143,,,,,,,,,
SAN FRANCISCO,30,56.68,1,264,,,,,,,,,
ST. LOUIS,14,16.04,1,75,,,,,,,,,
WFO,19,19.25,1,53,,,,,,,,,
Total,14,19,1,357,0,0,0,0,0,0,0,0,
