Component,Simple - Median No. of Days,Simple - Average No. of Days,Simple - Lowest No. of Days,Simple - Highest No. of Days,Complex - Median No. of Days,Complex - Average No. of Days,Complex - Lowest No. of Days,Complex - Highest No. of Days,Expedited - Median No. of Days,Expedited - Average No. of Days,Expedited - Lowest No. of Days,Expedited - Highest No. of Days,
AF,12,13,0,0,17,86,0,0,44,20,0,0,
ARMY,3,25,1,1748,3,50,1,804,3,11,1,151,
ASBCA,2,2,1,3,8,13,2,37,0,0,0,0,
CENTCOM,34,66,17,215,207,263,12,819,0,0,0,0,
DCAA,10,10,1,20,36,47,1,249,0,0,0,0,
DCMA,9,10,1,26,47,58,21,215,0,0,0,0,
DeCA,4,5,1,17,26,28,18,43,0,0,0,0,
DFAS,11,15,1,187,46,39,7,73,0,0,0,0,
DIA,6,9,1,16,351,546,23,3200,0,0,0,0,
DISA,165,163,1,359,45,106,1,316,0,0,0,0,
DLA,0,4,1,484,0,36,1,499,0,0,0,0,
DoDEA,26,27,4,59,80,90,57,166,0,0,0,0,
DoDIG,15,20,5,46,0,0,0,0,0,0,0,0,
DSS,30,25,1,101,0,0,0,0,0,0,0,0,
DTIC,16,15,11,19,0,0,0,0,0,0,0,0,
DTRA,6,9,2,24,48,59,1,308,0,0,0,0,
EUCOM,78,103,6,247,254,266,245,300,0,0,0,0,
JFCOM,383,343,38,608,33,33,33,33,0,0,0,0,
NAVY,14,37,1,868,32,138,1,1825,6,9,1,37,
NGA,449,380,174,533,532,502,286,631,0,0,0,0,
NORTHCOM,11,12,1,20,0,0,0,0,0,0,0,0,
NRO,9,15,6,37,89,89,41,130,0,0,0,0,
NSA,120,270,2,2361,699,1508,191,4277,12,206,12,399,
OSD/JS,11,28,1,270,283,534,2,4213,0,0,0,0,
PACOM,0,232,1,1724,0,835,7,2694,0,0,0,0,
SOCOM,14,40,2,183,120,306,3,2795,0,0,0,0,
SOUTHCOM,38,77,8,210,0,0,0,0,0,0,0,0,
STRATCOM,19,22,13,38,42,52,20,92,29,29,29,29,
TRANSCOM,7,11,1,21,43,51,29,138,0,0,0,0,
TRICARE,8,26,1,164,60,94,1,382,0,0,0,0,
Total,0,0,1,2361,0,0,1,4277,0,0,1,399,
