Component,Simple - Median No. of Days,Simple - Average No. of Days,Simple - Lowest No. of Days,Simple - Highest No. of Days,Complex - Median No. of Days,Complex - Average No. of Days,Complex - Lowest No. of Days,Complex - Highest No. of Days,Expedited - Median No. of Days,Expedited - Average No. of Days,Expedited - Lowest No. of Days,Expedited - Highest No. of Days,
OGC,7,7,4,9,0,0,0,0,,,,,
OGM,5,5,1,8,47,47,47,47,,,,,
Total,6,6,1,9,47,47,47,47,0,0,0,0,
