Component,Simple - Median No. of Days,Simple - Average No. of Days,Simple - Lowest No. of Days,Simple - Highest No. of Days,Complex - Median No. of Days,Complex - Average No. of Days,Complex - Lowest No. of Days,Complex - Highest No. of Days,Expedited - Median No. of Days,Expedited - Average No. of Days,Expedited - Lowest No. of Days,Expedited - Highest No. of Days,
DoS,142,139,,1723,228,285,35,2162,280,544,155,1276,
OIG,8.5,12.43,7,44,,,,,,,,,
Total,142,139,0,1732,228,285,35,2162,280,544,155,1276,
