Component,Simple - Median No. of Days,Simple - Average No. of Days,Simple - Lowest No. of Days,Simple - Highest No. of Days,Complex - Median No. of Days,Complex - Average No. of Days,Complex - Lowest No. of Days,Complex - Highest No. of Days,Expedited - Median No. of Days,Expedited - Average No. of Days,Expedited - Lowest No. of Days,Expedited - Highest No. of Days,
HQ,13,12.3,,20,52,119.21,,1407,1139.5,1139.5,489,1790,
Region 1,10,10.1,,20,33,72.02,21,737,,,,,
Region 2,14,12.81,,20,32,49.04,15,318,,,,,
Region 3,15,15.19,,20,62,76.21,21,487,,,,,
Region 4,16,13.93,,20,34,54.84,,754,,,,,
Region 5,16,14.52,,20,27,42.48,21,507,13,13,13,13,
Region 6,17,13.2,,17,27,57.31,,827,347,347,347,347,
Region 7,18,15.82,,20,26,31.5,6,107,,,,,
Region 8,14,13.29,,20,32,65.2,,638,34,34,34,34,
Region 9,15,14.19,,20,28.5,36.77,21,213,6,13,,32,
Region 10,12,11.2,,20,57.5,124.08,8,893,,,,,
Total,15,14,0,20,36,75,0,1407,33,339,0,1790,
