Component,Simple - Median No. of Days,Simple - Average No. of Days,Simple - Lowest No. of Days,Simple - Highest No. of Days,Complex - Median No. of Days,Complex - Average No. of Days,Complex - Lowest No. of Days,Complex - Highest No. of Days,Expedited - Median No. of Days,Expedited - Average No. of Days,Expedited - Lowest No. of Days,Expedited - Highest No. of Days,
BIA,2,2,,23,19,32,,671,,,,,
BLM,3,5,,41,21,40,,672,2,2,2,2,
BOEMRE,,,,,21,70,,322,204,189,,265,
BOR,15,16,,32,16,33,,607,12,12,10,13,
FWS,2,3,,12,16,47,,1278,18,17,5,28,
NPS,3,15,1,55,7,17,,444,42,42,42,42,
OIG,13,15,3,30,1114,927,59,1921,95,95,3,186,
OS,,,,,38,96,,790,9,9,4,13,
OSM,,,,,16,27,1,183,,,,,
SOL,,,,,59,150,5,877,,,,,
USGS,,,,,15,19,,300,1,1,1,1,
Total,2,3,0,55,17,41,0,1921,173,142,0,265,
