Component,Simple - Median No. of Days,Simple - Average No. of Days,Simple - Lowest No. of Days,Simple - Highest No. of Days,Complex - Median No. of Days,Complex - Average No. of Days,Complex - Lowest No. of Days,Complex - Highest No. of Days,Expedited - Median No. of Days,Expedited - Average No. of Days,Expedited - Lowest No. of Days,Expedited - Highest No. of Days,
DoS,122.8,129,6,1631,424,596,,2070,223,496,41,1841,
OIG,11,22.1,1,155,,,,,,,,,
Total,122,129,1,1631,424,596,0,2070,223,496,41,1841,
