Component,Simple - Median No. of Days,Simple - Average No. of Days,Simple - Lowest No. of Days,Simple - Highest No. of Days,Complex - Median No. of Days,Complex - Average No. of Days,Complex - Lowest No. of Days,Complex - Highest No. of Days,Expedited - Median No. of Days,Expedited - Average No. of Days,Expedited - Lowest No. of Days,Expedited - Highest No. of Days,
ATLANTA,22,29.83,1,517,0,0,0,0,0,0,0,0,
BIRMINGHAM,20,19.97,1,60,0,0,0,0,0,0,0,0,
CHARLOTTE,19,18.99,1,30,0,0,0,0,0,0,0,0,
CHICAGO,19,17.63,1,39,0,0,0,0,0,0,0,0,
DALLAS,9,15.21,1,127,0,0,0,0,0,0,0,0,
HOUSTON,11,10.35,1,25,0,0,0,0,0,0,0,0,
INDIANAPOLIS,9,10.08,1,28,0,0,0,0,0,0,0,0,
LOS ANGELES,7,8.16,1,18,0,0,0,0,0,0,0,0,
MEMPHIS,19,22.2,1,73,0,0,0,0,0,0,0,0,
MIAMI,20,19.95,1,39,0,0,0,0,0,0,0,0,
NEW YORK,27,38.87,1,284,0,0,0,0,0,0,0,0,
OLC/HDQ,19,30.97,1,447,0,0,0,0,4,10,4,19,
PHILADELPHIA,27,26.19,1,96,0,0,0,0,0,0,0,0,
PHOENIX,15,14.48,1,28,0,0,0,0,0,0,0,0,
SAN FRANCISCO,18.5,19.22,1,53,0,0,0,0,0,0,0,0,
ST. LOUIS,19,18.82,1,35,0,0,0,0,0,0,0,0,
WFO,19,17.76,1,23,0,0,0,0,0,0,0,0,
Total,18,18,1,517,0,0,0,0,4,10,4,19,
