Component,Simple - Median No. of Days,Simple - Average No. of Days,Simple - Lowest No. of Days,Simple - Highest No. of Days,Complex - Median No. of Days,Complex - Average No. of Days,Complex - Lowest No. of Days,Complex - Highest No. of Days,Expedited - Median No. of Days,Expedited - Average No. of Days,Expedited - Lowest No. of Days,Expedited - Highest No. of Days,
ATLANTA,16,19.71,1,141,,,,,,,,,
BIRMINGHAM,22,23.24,1,77,,,,,,,,,
CHARLOTTE,19,18.97,1,30,,,,,2.5,6.4,1,19,
CHICAGO,19,17.69,1,47,,,,,,,,,
DALLAS,9,16.34,1,105,,,,,,,,,
HOUSTON,9,9.85,1,41,,,,,,,,,
INDIANAPOLIS,10,10.38,1,38,,,,,,,,,
LOS ANGELES,2,3.46,1,19,,,,,,,,,
MEMPHIS,19,21.22,1,48,,,,,,,,,
MIAMI,17,17.94,1,74,,,,,,,,,
NEW YORK,22,32.78,1,182,,,,,,,,,
OLC/HDQ,19,20.7,1,108,,,,,14,14,14,14,
PHILADELPHIA,29,28.51,1,112,,,,,,,,,
PHOENIX,18,17.65,1,30,,,,,,,,,
SAN FRANCISCO,29,31.66,1,228,,,,,,,,,
ST. LOUIS,5,10.58,1,306,,,,,,,,,
WFO,17,15.94,2,43,,,,,,,,,
Total,17,18,1,306,0,0,0,0,0,0,0,0,
