Statute,Type of Information Withheld,Case Citation,Number of Times Relied upon per Component,Number of Times Relied upon per Component,Total Number of Times Relied upon by Agency
45 U.S.C. 362 (d),"Information obtained by the Railroad Retirement Board that reveals, in any manner, an employee's identity","Ass'n of Retired Railroad Workers v. U.S. R.R. Retirement Board, 830 F. 2d 331, 334 (D.C. Cir. 1987); Nat'l Ass'n of Retired & Veteran Ry. Employees v. R.R. Ret. Bd., No. 87-117, slip op. at 5 (N.D. Ohio)",12,RRB,12
45 U.S.C. 362 (d),"Information obtained by the Railroad Retirement Board that reveals, in any manner, an employee's identity","Ass'n of Retired Railroad Workers v. U.S. R.R. Retirement Board, 830 F. 2d 331, 334 (D.C. Cir. 1987); Nat'l Ass'n of Retired & Veteran Ry. Employees v. R.R. Ret. Bd., No. 87-117, slip op. at 5 (N.D. Ohio)",0,OIG,12
