Statute,Type of Information Withheld,Case Citation,Number of Times Relied upon per Component,Number of Times Relied upon per Component,Total Number of Times Relied upon by Agency
16 U.S.C. § 5937,"Information pertaining to: ""endangered, threatened, rare, or commercially valuable"" National Park System resources; ""mineral or paleontological objects within units of the National Park System""; or ""objects of cultural patrimony within units of the National Park System""","Hornbostel v. U.S. Dep't of the Interior, 305 F. Supp. 2d 21, 30 (D.D.C. 2003), summary affirmance granted, No. 03-5257, 2004 WL 1900562 (D.C. Cir. Aug. 25, 2004); Sw. Ctr. for Biological Diversity v. USDA, 170 F. Supp. 2d 931, 945 (D. Ariz. 2000), aff'd, 314 F.3d 1060, 1062 (9th Cir. 2002); Pease v. U.S. Dep't of Interior, No. 1:99CV113, slip op. at 2, 4 (D. Vt. Sept. 17, 1999).",2,BLM,4
16 U.S.C. § 5937,"Information pertaining to: ""endangered, threatened, rare, or commercially valuable"" National Park System resources; ""mineral or paleontological objects within units of the National Park System""; or ""objects of cultural patrimony within units of the National Park System""","Hornbostel v. U.S. Dep't of the Interior, 305 F. Supp. 2d 21, 30 (D.D.C. 2003), summary affirmance granted, No. 03-5257, 2004 WL 1900562 (D.C. Cir. Aug. 25, 2004); Sw. Ctr. for Biological Diversity v. USDA, 170 F. Supp. 2d 931, 945 (D. Ariz. 2000), aff'd, 314 F.3d 1060, 1062 (9th Cir. 2002); Pease v. U.S. Dep't of Interior, No. 1:99CV113, slip op. at 2, 4 (D. Vt. Sept. 17, 1999).",2,NPS,4
41 U.S.C. § 2102(a),Contractor bid or proposal information; source selection information,"Legal & Safety Employer Research, Inc. v. U.S. Dep't of the Army, No. Civ. S001748, 2001 WL 34098652, at *3-4 (E.D. Cal. May 4, 2001) (dictum).",1,BIA,10
41 U.S.C. § 2102(a),Contractor bid or proposal information; source selection information,"Legal & Safety Employer Research, Inc. v. U.S. Dep't of the Army, No. Civ. S001748, 2001 WL 34098652, at *3-4 (E.D. Cal. May 4, 2001) (dictum).",3,BLM,10
41 U.S.C. § 2102(a),Contractor bid or proposal information; source selection information,"Legal & Safety Employer Research, Inc. v. U.S. Dep't of the Army, No. Civ. S001748, 2001 WL 34098652, at *3-4 (E.D. Cal. May 4, 2001) (dictum).",3,NPS,10
41 U.S.C. § 2102(a),Contractor bid or proposal information; source selection information,"Legal & Safety Employer Research, Inc. v. U.S. Dep't of the Army, No. Civ. S001748, 2001 WL 34098652, at *3-4 (E.D. Cal. May 4, 2001) (dictum).",3,OS,10
41 U.S.C. § 4702,Certain information in contractor proposals; proposals of unsuccessful bidders,"Hodes v. U.S. Dep't of Treasury, 2013 U.S. Dist. LEXIS 137377, at *9-10 (D.D.C. 2013); Hornbostel v. U.S. Dep't of the Interior, 305 F. Supp. 2d 21, 29-30 (D.D.C. 2003)",2,BLM,7
41 U.S.C. § 4702,Certain information in contractor proposals; proposals of unsuccessful bidders,"Hodes v. U.S. Dep't of Treasury, 2013 U.S. Dist. LEXIS 137377, at *9-10 (D.D.C. 2013); Hornbostel v. U.S. Dep't of the Interior, 305 F. Supp. 2d 21, 29-30 (D.D.C. 2003)",1,BOR,7
41 U.S.C. § 4702,Certain information in contractor proposals; proposals of unsuccessful bidders,"Hodes v. U.S. Dep't of Treasury, 2013 U.S. Dist. LEXIS 137377, at *9-10 (D.D.C. 2013); Hornbostel v. U.S. Dep't of the Interior, 305 F. Supp. 2d 21, 29-30 (D.D.C. 2003)",2,FWS,7
41 U.S.C. § 4702,Certain information in contractor proposals; proposals of unsuccessful bidders,"Hodes v. U.S. Dep't of Treasury, 2013 U.S. Dist. LEXIS 137377, at *9-10 (D.D.C. 2013); Hornbostel v. U.S. Dep't of the Interior, 305 F. Supp. 2d 21, 29-30 (D.D.C. 2003)",2,NPS,7
"Fed. R. Crim. P. 6(e)(2)(B), enacted by Act of July 30, 1977, Pub. L. No. 95-78, 91 Stat. 319",Certain records pertaining to grand jury proceedings,"Sussman v. USMS, 494 F.3d 1106, 1113 (D.C. Cir. 2007); Fund for Constitutional Gov't v. Nat'l Archives & Records Serv., 656 F.2d 856, 867-68 (D.C. Cir. 1981); Durham v. U.S. Atty. Gen., No. 06-843, 2008 WL 620744, at *2 (E.D.Tex. Mar. 3, 2008); Cozen O'Connor v. U.S. Dep't of Treasury, 570 F. Supp. 2d 749, 776 (E.D. Pa. 2008).",2,FWS,4
"Fed. R. Crim. P. 6(e)(2)(B), enacted by Act of July 30, 1977, Pub. L. No. 95-78, 91 Stat. 319",Certain records pertaining to grand jury proceedings,"Sussman v. USMS, 494 F.3d 1106, 1113 (D.C. Cir. 2007); Fund for Constitutional Gov't v. Nat'l Archives & Records Serv., 656 F.2d 856, 867-68 (D.C. Cir. 1981); Durham v. U.S. Atty. Gen., No. 06-843, 2008 WL 620744, at *2 (E.D.Tex. Mar. 3, 2008); Cozen O'Connor v. U.S. Dep't of Treasury, 570 F. Supp. 2d 749, 776 (E.D. Pa. 2008).",2,OIG,4
16 U.S.C. § 470hh,Information pertaining to the nature and location of certain archaeological resources,"Hornbostel v. U.S. Dep't of the Interior, 305 F. Supp. 2d 21, 30 (D.D.C. 2003), summary affirmance granted, No. 03-5257, 2004 WL 1900562 (D.C. Cir. Aug. 25, 2004).",3,BIA,28
16 U.S.C. § 470hh,Information pertaining to the nature and location of certain archaeological resources,"Hornbostel v. U.S. Dep't of the Interior, 305 F. Supp. 2d 21, 30 (D.D.C. 2003), summary affirmance granted, No. 03-5257, 2004 WL 1900562 (D.C. Cir. Aug. 25, 2004).",19,BLM,28
16 U.S.C. § 470hh,Information pertaining to the nature and location of certain archaeological resources,"Hornbostel v. U.S. Dep't of the Interior, 305 F. Supp. 2d 21, 30 (D.D.C. 2003), summary affirmance granted, No. 03-5257, 2004 WL 1900562 (D.C. Cir. Aug. 25, 2004).",4,NPS,28
16 U.S.C. § 470hh,Information pertaining to the nature and location of certain archaeological resources,"Hornbostel v. U.S. Dep't of the Interior, 305 F. Supp. 2d 21, 30 (D.D.C. 2003), summary affirmance granted, No. 03-5257, 2004 WL 1900562 (D.C. Cir. Aug. 25, 2004).",2,OSM,28
