Statute,Type of Information Withheld,Case Citation,Number of Times Relied upon per Component,Number of Times Relied upon per Component,Total Number of Times Relied upon by Agency
"National Defense Authorization Act, 41 U.S.C. 253",Contractor proposals,"Hornbostel vs. DOI, 3503.Supp2d 21 (DDC 2003)",4,NNSA/AL,13
"National Defense Authorization Act, 41 U.S.C. 253",Contractor proposals,"Hornbostel vs. DOI, 3503.Supp2d 21 (DDC 2003)",0,BPA,13
"National Defense Authorization Act, 41 U.S.C. 253",Contractor proposals,"Hornbostel vs. DOI, 3503.Supp2d 21 (DDC 2003)",0,CBFO,13
"National Defense Authorization Act, 41 U.S.C. 253",Contractor proposals,"Hornbostel vs. DOI, 3503.Supp2d 21 (DDC 2003)",0,CH,13
"National Defense Authorization Act, 41 U.S.C. 253",Contractor proposals,"Hornbostel vs. DOI, 3503.Supp2d 21 (DDC 2003)",5,GFO,13
"National Defense Authorization Act, 41 U.S.C. 253",Contractor proposals,"Hornbostel vs. DOI, 3503.Supp2d 21 (DDC 2003)",0,ID,13
"National Defense Authorization Act, 41 U.S.C. 253",Contractor proposals,"Hornbostel vs. DOI, 3503.Supp2d 21 (DDC 2003)",2,NETL,13
"National Defense Authorization Act, 41 U.S.C. 253",Contractor proposals,"Hornbostel vs. DOI, 3503.Supp2d 21 (DDC 2003)",0,NR,13
"National Defense Authorization Act, 41 U.S.C. 253",Contractor proposals,"Hornbostel vs. DOI, 3503.Supp2d 21 (DDC 2003)",0,ORO,13
"National Defense Authorization Act, 41 U.S.C. 253",Contractor proposals,"Hornbostel vs. DOI, 3503.Supp2d 21 (DDC 2003)",1,EMCBC,13
"National Defense Authorization Act, 41 U.S.C. 253",Contractor proposals,"Hornbostel vs. DOI, 3503.Supp2d 21 (DDC 2003)",0,RL,13
"National Defense Authorization Act, 41 U.S.C. 253",Contractor proposals,"Hornbostel vs. DOI, 3503.Supp2d 21 (DDC 2003)",0,PNSO,13
"National Defense Authorization Act, 41 U.S.C. 253",Contractor proposals,"Hornbostel vs. DOI, 3503.Supp2d 21 (DDC 2003)",0,SROO,13
"National Defense Authorization Act, 41 U.S.C. 253",Contractor proposals,"Hornbostel vs. DOI, 3503.Supp2d 21 (DDC 2003)",0,OSTI,13
"National Defense Authorization Act, 41 U.S.C. 253",Contractor proposals,"Hornbostel vs. DOI, 3503.Supp2d 21 (DDC 2003)",0,SEPA,13
"National Defense Authorization Act, 41 U.S.C. 253",Contractor proposals,"Hornbostel vs. DOI, 3503.Supp2d 21 (DDC 2003)",0,SWPA,13
"National Defense Authorization Act, 41 U.S.C. 253",Contractor proposals,"Hornbostel vs. DOI, 3503.Supp2d 21 (DDC 2003)",0,SPR,13
"National Defense Authorization Act, 41 U.S.C. 253",Contractor proposals,"Hornbostel vs. DOI, 3503.Supp2d 21 (DDC 2003)",0,WAPA,13
"National Defense Authorization Act, 41 U.S.C. 253",Contractor proposals,"Hornbostel vs. DOI, 3503.Supp2d 21 (DDC 2003)",1,HQ,13
"Atomic Energy Act of 1954 as amended, 42 U.S.C. 2011 et.seq.","Information classified as Restricted Data, Formerly Restricted Data, or Unclassified Controlled Nuclear Information",,1,NNSA/AL,8
"Atomic Energy Act of 1954 as amended, 42 U.S.C. 2011 et.seq.","Information classified as Restricted Data, Formerly Restricted Data, or Unclassified Controlled Nuclear Information",,0,BPA,8
"Atomic Energy Act of 1954 as amended, 42 U.S.C. 2011 et.seq.","Information classified as Restricted Data, Formerly Restricted Data, or Unclassified Controlled Nuclear Information",,0,CBFO,8
"Atomic Energy Act of 1954 as amended, 42 U.S.C. 2011 et.seq.","Information classified as Restricted Data, Formerly Restricted Data, or Unclassified Controlled Nuclear Information",,0,CH,8
"Atomic Energy Act of 1954 as amended, 42 U.S.C. 2011 et.seq.","Information classified as Restricted Data, Formerly Restricted Data, or Unclassified Controlled Nuclear Information",,0,GFO,8
"Atomic Energy Act of 1954 as amended, 42 U.S.C. 2011 et.seq.","Information classified as Restricted Data, Formerly Restricted Data, or Unclassified Controlled Nuclear Information",,0,ID,8
