Statute,Type of Information Withheld,Case Citation,Number of Times Relied upon per Component,Number of Times Relied upon per Component,Total Number of Times Relied upon by Agency
15 U.S.C. § 18a(h),Information submitted in connection with the premerger notification provisions of the Hart-Scott-Rodino Antitrust Improvements Act of 1976,"Lieberman v. FTC, 771 F.2d 32 (2d Cir. 1985)",2,Antitrust,2
15 U.S.C. § 4305(d),Information submitted under the National Cooperative Research and Production Act of 1993,None,1,Antitrust,1
18 U.S.C. § 3153,Information regarding pre-trial services,None,3,EOUSA,3
18 U.S.C. § 5038,Juvenile arrest records,None,10,FBI,10
42 U.S.C. § 3789g,Data received by the Bureau of Justice Statistics and used only for statistical or research purposes,None,2,OJP,2
"Pub. L. No. 111-8, 123 Stat. 524",Information required to be maintained by Federal Firearms Licensees and information maintained in the ATF Firearms Tracing Systems,"City of Chicago v. U.S. Dep't of the Treasury, 423 F.3d 777 (7th Cir. 2005)",226,ATF,226
5 U.S.C. app. § 107,Financial disclosure information pertaining to certain government employees,"Concepcion v. FBI, 606 F. Supp. 2d 14, 33 (D.D.C. 2009), renewed motion for summary judgement granted in part, 699 F. Supp. 2d 106 (D.D.C. Mar 30, 2010)",66,EOUSA,67
5 U.S.C. app. § 107,Financial disclosure information pertaining to certain government employees,"Concepcion v. FBI, 606 F. Supp. 2d 14, 33 (D.D.C. 2009), renewed motion for summary judgement granted in part, 699 F. Supp. 2d 106 (D.D.C. Mar 30, 2010)",1,TAX,67
10 U.S.C. § 130b,"Personally identifiable information pertaining to members of the armed forces assigned to ""routinely deployable unit[s]"" and certain employees of DOD and DHS","Windel v. United States, No. A02-306, 2005 WL 846206, at *2 (D. Alaska Apr. 11, 2005)",2,Civil,2
15 U.S.C. § 1314(g),"""Any documentary material, answers to written interrogatories, or transcripts of oral testimony"" provided pursuant to certain civil investigative demands pertaining to antitrust investigations","Motion Picture Ass'n of Am. v. DOJ, No. 80 Civ. 6612, slip op. at 1 (S.D.N.Y. Oct. 6, 1981)",2,Antitrust,2
18 U.S.C. § 1461,Obscene materials,None,1,EOUSA,1
"18 U.S.C. §§ 2252, 2252A","""[M]aterial pertaining to the sexual exploitation of children""; ""material constituting or containing child porngraphy""",None,1,FBI,1
18 U.S.C. §§ 2510-20,"Wiretap requests and the contents of any wire, oral, or electronic communication obtained through wiretaps","Payne v. DOJ, No. 96-30840, slip op. at 5-6 (5th Cir. July 11, 1997)",9,Criminal,111
18 U.S.C. §§ 2510-20,"Wiretap requests and the contents of any wire, oral, or electronic communication obtained through wiretaps","Payne v. DOJ, No. 96-30840, slip op. at 5-6 (5th Cir. July 11, 1997)",27,DEA,111
18 U.S.C. §§ 2510-20,"Wiretap requests and the contents of any wire, oral, or electronic communication obtained through wiretaps","Payne v. DOJ, No. 96-30840, slip op. at 5-6 (5th Cir. July 11, 1997)",1,EOUSA,111
18 U.S.C. §§ 2510-20,"Wiretap requests and the contents of any wire, oral, or electronic communication obtained through wiretaps","Payne v. DOJ, No. 96-30840, slip op. at 5-6 (5th Cir. July 11, 1997)",74,FBI,111
18 U.S.C. § 3123(d),"Certain court ""order[s] authorizing or approving the installation and use of a pen register or a trap and trace device""; information pertaining to ""the existence of the pen register or trap and trace device or the existence of the investigation""","Manna v. DOJ, 815 F. Supp. 798, 812 (D.N.J 1993), aff'd on other grounds, 51 F.3d 1158 (3d Cir. 1995)",1,EOUSA,38
18 U.S.C. § 3123(d),"Certain court ""order[s] authorizing or approving the installation and use of a pen register or a trap and trace device""; information pertaining to ""the existence of the pen register or trap and trace device or the existence of the investigation""","Manna v. DOJ, 815 F. Supp. 798, 812 (D.N.J 1993), aff'd on other grounds, 51 F.3d 1158 (3d Cir. 1995)",37,FBI,38
18 U.S.C. § 3521 (b)(1),Witness security information,"Bonadonna v. DOJ, No. 09-40011-RWZ, 2010 WL 745790, at *1 (D. Mass. Feb. 22, 2010)",47,BOP,60
18 U.S.C. § 3521 (b)(1),Witness security information,"Bonadonna v. DOJ, No. 09-40011-RWZ, 2010 WL 745790, at *1 (D. Mass. Feb. 22, 2010)",1,Criminal,60
18 U.S.C. § 3521 (b)(1),Witness security information,"Bonadonna v. DOJ, No. 09-40011-RWZ, 2010 WL 745790, at *1 (D. Mass. Feb. 22, 2010)",4,FBI,60
18 U.S.C. § 3521 (b)(1),Witness security information,"Bonadonna v. DOJ, No. 09-40011-RWZ, 2010 WL 745790, at *1 (D. Mass. Feb. 22, 2010)",8,USMS,60
22 U.S.C. § 2778(e),Certain information pertaining to export license applications,"Council for a Livable World v. U.S. Dep't of State, No. 96-1807, slip op. at 11 (D.D.C. Jan. 21, 1998), amended (D.D.C. Nov. 23, 1998)",1,Criminal,1
"26 U.S.C. §§ 6103, 6105",Certain tax return information and certain tax convention information,"Tax Analysts v. IRS, 217 F. Supp. 2d 23, 27-29 (D.D.C. 2002) (26 U.S.C. Sec 6105)",8,ATF,61
"26 U.S.C. §§ 6103, 6105",Certain tax return information and certain tax convention information,"Tax Analysts v. IRS, 217 F. Supp. 2d 23, 27-29 (D.D.C. 2002) (26 U.S.C. Sec 6105)",1,Criminal,61
"26 U.S.C. §§ 6103, 6105",Certain tax return information and certain tax convention information,"Tax Analysts v. IRS, 217 F. Supp. 2d 23, 27-29 (D.D.C. 2002) (26 U.S.C. Sec 6105)",30,FBI,61
"26 U.S.C. §§ 6103, 6105",Certain tax return information and certain tax convention information,"Tax Analysts v. IRS, 217 F. Supp. 2d 23, 27-29 (D.D.C. 2002) (26 U.S.C. Sec 6105)",10,TAX,61
"26 U.S.C. §§ 6103, 6105",Certain tax return information and certain tax convention information,"Tax Analysts v. IRS, 217 F. Supp. 2d 23, 27-29 (D.D.C. 2002) (26 U.S.C. Sec 6105)",12,USPC,61
28 U.S.C. § 651,Documents filed under seal and confidential mediation documents,None,1,ENRD,1
31 U.S.C. § 3730,Records pertaining to financial false claims,None,1,EOUSA,1
31 U.S.C. § 5319,Reports pertaining to monetary instrument transactions filed under subchapter II of chapter 53 of title 31 and records of those reports,"Sciba v. Bd of Governors of the Fed. Reserve Sys., No. 04-1011, 2005 WL 3201206 (D.D.C. Nov. 4, 2005)",23,FBI,23
50 U.S.C. § 403g,"Intelligence sources and methods; certain information pertaining to Agency employees, specifically: ""the organization, functions, names, official titles, salaries, or numbers of personnel employed by the Agency""","Makky v. Chertoff, 489 F. Supp. 2d 421, 442 (D.N.J. 2007), aff'd on other grounds, 541 F. 3d 205 (3d Cir. 2008)",104,FBI,105
50 U.S.C. § 403g,"Intelligence sources and methods; certain information pertaining to Agency employees, specifically: ""the organization, functions, names, official titles, salaries, or numbers of personnel employed by the Agency""","Makky v. Chertoff, 489 F. Supp. 2d 421, 442 (D.N.J. 2007), aff'd on other grounds, 541 F. 3d 205 (3d Cir. 2008)",1,NSD,105
50 U.S.C. § 403-1(i)(1),Intelligence sources and methods,"Wolf v. CIA, 473 F.3d 370, 378, 380 (D.C. Cir 2007)",82,FBI,82
50 U.S.C. § 431,"""[O]perational files of the Central Intelligence Agency""","Wolf v. CIA, 569 F. Supp. 2d 1, 8 (D.D.C. 2008)",2,FBI,2
"Fed. R. Crim. P. 6(e), enacted by Act of July 30, 1997, Pub L. No. 95-78, 91 Stat. 391",Certain records pertaining to grand jury proceedings,"Cozen O'Connor v. U.S. Dep't of Treasury, 570 F. Supp. 2d 749, 776 (E.D. Pa. 2008)",1,Office of the AG,777
"Fed. R. Crim. P. 6(e), enacted by Act of July 30, 1997, Pub L. No. 95-78, 91 Stat. 391",Certain records pertaining to grand jury proceedings,"Cozen O'Connor v. U.S. Dep't of Treasury, 570 F. Supp. 2d 749, 776 (E.D. Pa. 2008)",2,Antitrust,777
"Fed. R. Crim. P. 6(e), enacted by Act of July 30, 1997, Pub L. No. 95-78, 91 Stat. 391",Certain records pertaining to grand jury proceedings,"Cozen O'Connor v. U.S. Dep't of Treasury, 570 F. Supp. 2d 749, 776 (E.D. Pa. 2008)",15,ATF,777
"Fed. R. Crim. P. 6(e), enacted by Act of July 30, 1997, Pub L. No. 95-78, 91 Stat. 391",Certain records pertaining to grand jury proceedings,"Cozen O'Connor v. U.S. Dep't of Treasury, 570 F. Supp. 2d 749, 776 (E.D. Pa. 2008)",5,Criminal,777
"Fed. R. Crim. P. 6(e), enacted by Act of July 30, 1997, Pub L. No. 95-78, 91 Stat. 391",Certain records pertaining to grand jury proceedings,"Cozen O'Connor v. U.S. Dep't of Treasury, 570 F. Supp. 2d 749, 776 (E.D. Pa. 2008)",2,DEA,777
"Fed. R. Crim. P. 6(e), enacted by Act of July 30, 1997, Pub L. No. 95-78, 91 Stat. 391",Certain records pertaining to grand jury proceedings,"Cozen O'Connor v. U.S. Dep't of Treasury, 570 F. Supp. 2d 749, 776 (E.D. Pa. 2008)",2,ENRD,777
"Fed. R. Crim. P. 6(e), enacted by Act of July 30, 1997, Pub L. No. 95-78, 91 Stat. 391",Certain records pertaining to grand jury proceedings,"Cozen O'Connor v. U.S. Dep't of Treasury, 570 F. Supp. 2d 749, 776 (E.D. Pa. 2008)",264,EOUSA,777
"Fed. R. Crim. P. 6(e), enacted by Act of July 30, 1997, Pub L. No. 95-78, 91 Stat. 391",Certain records pertaining to grand jury proceedings,"Cozen O'Connor v. U.S. Dep't of Treasury, 570 F. Supp. 2d 749, 776 (E.D. Pa. 2008)",473,FBI,777
"Fed. R. Crim. P. 6(e), enacted by Act of July 30, 1997, Pub L. No. 95-78, 91 Stat. 391",Certain records pertaining to grand jury proceedings,"Cozen O'Connor v. U.S. Dep't of Treasury, 570 F. Supp. 2d 749, 776 (E.D. Pa. 2008)",1,JMD,777
"Fed. R. Crim. P. 6(e), enacted by Act of July 30, 1997, Pub L. No. 95-78, 91 Stat. 391",Certain records pertaining to grand jury proceedings,"Cozen O'Connor v. U.S. Dep't of Treasury, 570 F. Supp. 2d 749, 776 (E.D. Pa. 2008)",7,NSD,777
"Fed. R. Crim. P. 6(e), enacted by Act of July 30, 1997, Pub L. No. 95-78, 91 Stat. 391",Certain records pertaining to grand jury proceedings,"Cozen O'Connor v. U.S. Dep't of Treasury, 570 F. Supp. 2d 749, 776 (E.D. Pa. 2008)",1,OPR,777
"Fed. R. Crim. P. 6(e), enacted by Act of July 30, 1997, Pub L. No. 95-78, 91 Stat. 391",Certain records pertaining to grand jury proceedings,"Cozen O'Connor v. U.S. Dep't of Treasury, 570 F. Supp. 2d 749, 776 (E.D. Pa. 2008)",4,TAX,777
