Statute,Type of Information Withheld,Case Citation,Number of Times Relied upon per Component,Number of Times Relied upon per Component,Total Number of Times Relied upon by Agency
42 U.S.C. § 2162,"""Restricted Data"" pertaining to atomic weapons and special nuclear material","Meeropol v. Smith, No. 75 - 1121, slip op. at 53-55 (D.D.C. Feb.29, 1984), aff'd in relevant part & remanded in part on other grounds sub nom, Meeropol v. Meese, 790 F.2d 942 (D.C. Dir. 1986).",2,TVA,2
6 U.S.C. § 133,Critical infrastructure information,,1,TVA,1
