Statute,Type of Information Withheld,Case Citation,Number of Times Relied upon per Component,Number of Times Relied upon per Component,Total Number of Times Relied upon by Agency
19 U.S.C. § 1677(f),"Certain ""information submitted to the administering authority or the [The United States International Trade] Commission is designated as proprietary by the person submitting the information""","Mudge Rose Guthrie Alexander & Ferdon v. U.S. International Trade Commssion, 846 F.2d 1527, 1530 (D.C. Cir. 1988)",1,USITC,1
19 U.S.C. § 1332(g),Confidential Business Information,None,3,USITC,3
41 U.S.C. § 253b(m)(1) (currently at 41 U.S.C. § 4702),Prohibition on Release of Contract Proposals,None,1,USITC,1
