Component,Simple,Simple,Simple,Simple,Complex,Complex,Complex,Complex,Expedited,Expedited,Expedited,Expedited
,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,
BIA,1,1,,24,12,23,,907,5,40,1,238,
BLM,4,7,,26,27,53,,990,,,,,
BOEM,5,7,,46,26,51,,316,26,44,21,86,
BOR,2,3,,28,17,26,,273,,,,,
BSEE,3,4,,15,21,32,1,293,4,4,4,4,
FWS,2,4,,37,18,46,,1109,9,9,1,17,
NPS,6,43,,1004,20,50,,1157,69,82,,227,
OIG,1,2,,28,8,51,,856,,,,,
OS,99,99,,1,11,43,,1008,313,224,8,479,
OSM,1,1,,1,18,40,,506,6,6,6,6,
SOL,18,16,1,51,32,151,,1130,,,,,
USGS,1,4,,14,13,47,,445,,,,,
Total,2,10,0,1004,17,41,0,1157,17,77,0,479,
