Component,Simple,Simple,Simple,Simple,Complex,Complex,Complex,Complex,Expedited,Expedited,Expedited,Expedited
,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,
AF,6,11,1,739,35,97,1,2354,12,15,1,56,
AFRICOM,6,11,1,42,35,35,35,35,0,0,0,0,
ARMY,,28,1,1262,,62,1,1920,,13,1,154,
ASBCA,5,5,3,15,5,5,3,15,0,0,0,0,
CENTCOM,6,79,1,961,394,428,1,1420,0,0,0,0,
DCAA,7,8,1,79,20,25,13,43,0,0,0,0,
DCMA,11,20,1,153,65,133,12,506,0,0,0,0,
DeCA,14,16,1,53,0,0,0,0,0,0,0,0,
DFAS,11,15,1,139,23,27,1,88,1,7,1,19,
DIA,9,9,1,20,811,963,21,3714,0,0,0,0,
DISA,14,66,1,562,40,109,1,445,0,0,0,0,
DLA,3,11,1,420,8,22,1,570,75,75,1,149,
DoDEA,18,20,1,58,59,83,53,226,0,0,0,0,
DoDIG,0,0,0,0,43,117,1,1530,0,0,0,0,
DSS,12,20,5,30,0,0,0,0,0,0,0,0,
DTIC,12,15,1,72,0,0,0,0,0,0,0,0,
DTRA,3,7,1,29,18,37,1,775,0,0,0,0,
EUCOM,46,91,2,406,175,189,65,342,0,0,0,0,
JFCOM,7,26,1,70,42,43,28,68,0,0,0,0,
NAVY,275,111,1,2918,40,74,1,2331,6,8,1,37,
NGA,19,120,1,543,346,350,1,922,0,0,0,0,
NGB,21,28,1,113,65,65,53,77,99,99,99,99,
NORTHCOM,8,8,1,19,6,6,5,8,0,0,0,0,
NRO,13,13,1,77,136,218,22,1161,0,0,0,0,
NSA,8,62,1,2066,833,1327,220,4117,10,10,10,10,
OSD/JS,5,18,1,738,258,492,1,3850,55,299,28,815,
PACOM,64,15,1,100,92,365,1,3665,1,1,1,1,
SOCOM,14,293,1,1236,397,418,1,2342,934,1120,919,1507,
SOUTHCOM,6,7,2,15,115,339,37,981,0,0,0,0,
STRATCOM,7,9,1,25,30,27,5,49,0,0,0,0,
TRANSCOM,2,16,1,32,55,102,39,144,0,0,0,0,
TRICARE,10,13,1,20,40,67,23,156,0,0,0,0,
Total,0,43,1,2918,0,187,1,4117,0,13,1,1507,
