Component,Median No. of Days - Simple,Average No. of Days - Simple,Lowest No. of Days - Simple,Highest No. of Days - Simple,Median No. of Days - Complex,Average No. of Days - Complex,Lowest No. of Days - Complex,Highest No. of Days - Complex,Median No. of Days - Expedited,Average No. of Days - Expedited,Lowest No. of Days - Expedited,Highest No. of Days - Expedited,
ARC,16,12,,20,21,26.9,,126,,,,,
DFRC,0.5,1,,3,17,34.86,3,150,,,,,
GRC,2,4.8,1,16,4,13.2,,59,,,,,
GSFC,4,5.94,,23,14,27.32,,140,,,,,
HQ,4,5.42,,18,16,24.28,,230,,,,,
JPL,4,4.33,,16,7.5,20.88,2,126,,,,,
JSC,1,1.86,,7,8,12.99,,80,,,,,
KSC,2.5,3.73,,15,13,22.02,,135,,,,,
LaRC,2,3.37,,15,12,19.75,,120,,,,,
MSFC,5,7.95,,29,23,21.58,,66,,,,,
NSSC,8,11.33,6,20,25,56.14,10,252,,,,,
OIG,9.5,11.36,,35,30,32.8,13,58,,,,,
SSC,3,3.29,,11,9,9,9,9,,,,,
Total,4,6,0,35,14,22,0,252,0,0,0,0,
