Component,Median No. of Days - Simple,Average No. of Days - Simple,Lowest No. of Days - Simple,Highest No. of Days - Simple,Median No. of Days - Complex,Average No. of Days - Complex,Lowest No. of Days - Complex,Highest No. of Days - Complex,Median No. of Days - Expedited,Average No. of Days - Expedited,Lowest No. of Days - Expedited,Highest No. of Days - Expedited,
ATLANTA,16,21.6,1,164,,,,,,,,,
BIRMINGHAM,22,22.95,1,109,,,,,14,14,1,27,
CHARLOTTE,19,17.87,1,30,,,,,2.5,6.4,1,19,
CHICAGO,18,15.72,1,55,,,,,,,,,
DALLAS,9,16.25,1,110,,,,,15,12,5,15,
HOUSTON,8,9.18,1,41,,,,,1,1,1,1,
INDIANAPOLIS,9,10.18,1,38,,,,,21,21,21,21,
LOS ANGELES,1,2.7,1,19,,,,,14,14,14,14,
MEMPHIS,19,19.76,1,48,,,,,,,,,
MIAMI,15,15.37,1,105,,,,,11,11.33,11,12,
NEW YORK,23,37.82,1,253,,,,,20.5,20.5,20,21,
OLC/HDQ,16,15.72,1,108,,,,,11,12.36,3,27,
PHILADELPHIA,29,28.67,1,112,,,,,,,,,
PHOENIX,17,15.19,1,30,,,,,,,,,
SAN FRANCISCO,23,27.82,1,228,,,,,,,,,
ST. LOUIS,5,11.34,1,306,,,,,,,,,
WFO,16,14.26,1,43,,,,,,,,,
Total,16,18,1,306,0,0,0,0,3,7,1,19,
