Component,Median No. of Days - Simple,Average No. of Days - Simple,Lowest No. of Days - Simple,Highest No. of Days - Simple,Median No. of Days - Complex,Average No. of Days - Complex,Lowest No. of Days - Complex,Highest No. of Days - Complex,Median No. of Days - Expedited,Average No. of Days - Expedited,Lowest No. of Days - Expedited,Highest No. of Days - Expedited,
BIA,2,2,,23,19,32,,671,,,,,
BLM,3,5,,41,20,38,,672,2,2,2,2,
BOEMRE,,,,,20,65,,322,204,191,,265,
BOR,15,16,,32,15,34,,607,12,12,10,13,
FWS,2,3,,12,15,43,,1278,18,17,5,28,
NPS,3,15,1,55,7,16,,444,21,21,,42,
OIG,5,13,1,44,1131,1056,20,2235,40,43,3,127,
OS,1,1,,1,37,117,,1855,13,70,4,192,
OSM,,,,,16,25,1,183,,,,,
SOL,,,,,78,209,5,929,,,,,
USGS,,,,,12,15,,300,1,1,,1,
Total,2,3,0,55,16,44,0,2235,175,138,0,265,
