Component,Simple,Simple,Simple,Simple,Complex,Complex,Complex,Complex,Expedited,Expedited,Expedited,Expedited
,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,
AF,10,15,1,3022,39,85,1,1398,13,14,1,57,
AFRICOM,16,21,1,44,76,103,36,427,44,44,44,44,
ARMY,,8,0,572,,48,0,1641,,13,0,148,
ASBCA,18,21,2,46,0,0,0,0,0,0,0,0,
CENTCOM,33,97,1,1103,74,152,1,1457,0,0,0,0,
DCAA,4,6,1,31,12,19,3,57,0,0,0,0,
DCMA,258,66,0,516,223,137,0,446,0,0,0,0,
DeCA,,9,,80,0,0,0,0,0,0,0,0,
DFAS,6,10,1,63,21,38,4,156,0,0,0,0,
DIA,6,7,1,20,469,786,21,3713,0,0,0,0,
DISA,76,94,1,820,5,9,0,29,0,0,0,0,
DLA,5,9,1,104,12,32,1,273,33,33,33,33,
DoD IG,5,7,1,103,61,145,1,1604,22,22,22,22,
DoDEA,22,24,1,81,55,55,55,55,0,0,0,0,
DSS,5,5,1,20,0,0,0,0,0,0,0,0,
DTIC,9,9,0,20,26,42,22,111,0,0,0,0,
DTRA,5,12,1,145,35,58,1,326,0,0,0,0,
EUCOM,7,15,1,72,607,314,16,812,0,0,0,0,
NAVY,7,7,0,20,40,60,1,1908,3,2,0,90,
NGA,296,287,244,321,266,306,0,1022,132,132,132,132,
NGB,5,6,,23,52,69,,337,0,0,0,0,
NORTHCOM,26,30,1,167,0,0,0,0,0,0,0,0,
NRO,7,9,1,36,103,218,23,1316,0,0,0,0,
NSA,7,58,1,2939,892,1185,143,3953,11,106,9,391,
OSD/JS,5,9.75,,430,101,447,,4097,0,0,0,0,
PACOM,1,1,1,2,73,116,8,2151,0,0,0,0,
SOCOM,3,5,1,20,122,317,2,4099,0,0,0,0,
SOUTHCOM,9,3,1,15,104,167,45,643,0,0,0,0,
STRATCOM,8,10,0,37,56,31,7,144,0,0,0,0,
TRANSCOM,14,6,1,19,57,105,21,543,8,8,8,8,
TRICARE,11,19,0,161,41,59,0,253,0,0,0,0,
Total,0,11,0,2939,0,115,0,4099,0,14,0,391,
