Component,Simple,Simple,Simple,Simple,Complex,Complex,Complex,Complex,Expedited,Expedited,Expedited,Expedited
,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,
BPA,2,12.59,,112,77,124.76,,414,9,9,9,9,
CBFO,16,16.79,3,29,,,,,,,,,
CH,3,5.13,,20,18.5,37.5,1,282,,,,,
EMCBC,34,54.73,,311,14.5,33.25,1,211,236.5,236.5,130,343,
GFO,1,5.48,,25,,,,,,,,,
HQ,19,37.44,,1157,103.5,173.47,,1397,61,61,47,75,
ID,7,10.28,,40,,,,,,,,,
NETL,9.5,18.38,,175,,,,,,,,,
NNSA,6,94.2,1,891,76,223.88,,2043,,,,,
NRLFO,30.5,30.5,12,49,,,,,,,,,
ORO,9,12.78,,78,23,53.5,,263,,,,,
OSTI,1,25.83,,488,,,,,,,,,
ROO,13,15.33,,154,,,,,,,,,
SEPA,6.5,6.25,,18,,,,,,,,,
SPR,5,11.69,,48,,,,,15.5,15.5,14,17,
SRO,10,20.71,,215,,,,,,,,,
SWPA,5,10.23,,59,,,,,,,,,
WAPA,19,17.16,,68,,,,,,,,,
Total,12,27,0,1157,74,177,0,2043,47,91,9,343,
