Component,Simple,Simple,Simple,Simple,Complex,Complex,Complex,Complex,Expedited,Expedited,Expedited,Expedited
,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,
AF,8,14,1,1031,40,82,1,887,11,22,1,111,
AFRICOM,39,35,1,68,128,445,29,861,,,,,
ARMY,,6,,443,,34,,1456,,13,,30,
ASBCA,3,5,1,10,,,,,,,,,
CENTCOM,5,5,1,18,87,159,1,1418,57,52,13,58,
DCAA,11,4,1,22,47,22,5,95,,,,,
DCMA,22,11,,44,544,182,23,1066,3,3,1,6,
DeCA,6,13,,179,,,,,,,,,
DFAS,10,12,,79,21,42,1,288,9,9,9,9,
DIA,5,6,1,20,553,855,21,3517,,,,,
DISA,107,116,1,667,18,17,,53,,,,,
DLA,5,9,,121,12,32,1,274,,,,,
DoD IG,4,6,1,19,33,126,10,1665,26,25,5,62,
DoDEA,18,18,1,47,40,48,20,110,,,,,
DSS,5,5,1,20,,,,,,,,,
DTIC,13,13,1,20,24,25,21,54,,,,,
DTRA,9,13,,65,72,119,,459,,,,,
EUCOM,5,10,1,76,168,385,11,1752,,,,,
JPRA,17,15,4,23,25,25,25,25,,,,,
NAVY,5,7,1,20,20,43,1,3089,,2,,21,
NGA,,,,,155,255,,819,,,,,
NGB,10,10,,30,61,85,6,604,,,,,
NORTHCOM,19,8,1,21,89,218,23,973,,,,,
NRO,11,8,1,20,110,137,23,1148,,,,,
NSA,7,19,1,3061,559,993,18,4585,39,173,4,609,
OSD/JS,5,8,,173,83,336,,3208,,,,,
PACOM,8,8,1,17,68,109,21,495,,,,,
SOCOM,16,15,1,83,94,308,1,2517,,,,,
SOUTHCOM,21,10,4,28,145,202,53,695,,,,,
STRATCOM,3,5,,16,48,68,26,135,,,,,
TRANSCOM,12,7,1,20,33,60,23,163,,,,,
TRICARE,12,21,,369,40,59,16,298,18,18,18,18,
Total,0,10,0,3061,0,93,0,4585,0,15,0,609,
