Component,Median No. of Days - Simple,Average No. of Days - Simple,Lowest No. of Days - Simple,Highest No. of Days - Simple,Median No. of Days - Complex,Average No. of Days - Complex,Lowest No. of Days - Complex,Highest No. of Days - Complex,Median No. of Days - Expedited,Average No. of Days - Expedited,Lowest No. of Days - Expedited,Highest No. of Days - Expedited,
BIA,1,2,,22,14,23,,620,12,13,8,20,
BLM,3,4,,17,21,45,,653,106,106,106,106,
BOEM,2,4,1,10,30,95,,361,99,99,,99,
BOR,3,4,,13,16,17,,94,25,25,25,25,
BSEE,3,3,1,7,29,86,,617,48,224,46,579,
FWS,3,5,,43,17,41,,894,3,11,3,46,
NPS,14,13,,27,13,28,,545,16,22,2,64,
OIG,4,18,,120,81,354,,1492,50,102,1,353,
OS,16,16,16,16,19,63,,983,5,5,5,5,
OSM,,,,,18,49,,766,,,,,
SOL,,,,,44,139,,1140,,,,,
USGS,2,2,,3,8,15,,585,,,,,
Total,1,3,0,120,17,43,0,1492,19,63,0,579,
