Component,Simple,Simple,Simple,Simple,Complex,Complex,Complex,Complex,Expedited,Expedited,Expedited,Expedited
,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,
ARC,20,41.81,,319,,,,,,,,,
DFRC,15,28.48,,169,244,244,244,244,12.5,12.5,6,19,
GRC,6,11.56,,43,14,34.27,,279,,,,,
GSFC,39,65.46,1,262,123.5,139.46,,434,15,44.8,4,172,
HQ,210,244.01,,1097,314,361.56,2,1329,57,57,57,57,
JPL,2.5,4.38,,29,25,24.33,19,29,,,,,
JSC,5,8.54,,64,12,19.93,,237,11,12.43,2,30,
KSC,1,5.75,,41,7.5,16.35,,67,,,,,
LaRC,8,13.89,,102,202,308.35,,1200,,,,,
MSFC,11,14.45,,62,21.5,49.5,5,153,20.5,19.75,8,30,
NSSC,14,17.35,,51,18,25.5,2,64,,,,,
OGC,20,20,20,20,,,,,,,,,
OIG,24,49.46,1,261,,,,,,,,,
SSC,2,4.59,,22,6,38.8,,164,2,2,2,2,
Total,13,54,0,1097,71,182,0,1329,12,23,0,172,
