Component,Median No. of Days - Simple,Average No. of Days - Simple,Lowest No. of Days - Simple,Highest No. of Days - Simple,Median No. of Days - Complex,Average No. of Days - Complex,Lowest No. of Days - Complex,Highest No. of Days - Complex,Median No. of Days - Expedited,Average No. of Days - Expedited,Lowest No. of Days - Expedited,Highest No. of Days - Expedited,
BIA,2,3,,13,,32.4,,689,,,,,
BLM,3,3,,9,,33.88,,415,4,5,4,7,
BOR,7,9,1,20,,33.94,,413,4,7,1,29,
FWS,6,9,,36,,32.5,,624,3,4,1,9,
MMS,2,2,1,3,,26.41,,284,,,,,
NPS,2,6,,18,,15.91,,596,6,10,2,27,
OIG,51,63,3,189,,1006.32,1,2850,,,,,
OS,,1,,3,,37,,357,13,13,,25,
OSM,,,,,,20.94,,154,,,,,
SOL,,,,,48,107,,501,,,,,
USGS,,1,,2,,15.12,,166,,,,,
Total,2,3,0,189,0,31,0,2850,4,6,0,29,
