Component,Number Pending - Simple,Median No. of Days - Simple,Average No. of Days - Simple,Number Pending - Complex,Median No. of Days - Complex,Average No. of Days - Complex,Number Pending - Expedited,Median No. of Days - Expedited,Average No. of Days - Expedited,
AF,186,8,23,748,69,109,5,28,31,
AFRICOM,2,36,36,17,147,172,0,0,0,
ARMY,544,,13,981,,98,63,,8,
ASBCA,0,0,0,0,0,0,0,0,0,
CENTCOM,38,137,251,195,152,232,0,0,0,
DCAA,4,16,12,1,28,28,0,0,0,
DCMA,30,51,151,21,452,451,0,0,0,
DeCA,7,14,12,0,0,0,0,0,0,
DFAS,6,12,17,2,79,82,0,0,0,
DIA,44,10,10,1130,829,1007,2,225,255,
DISA,26,105,165,1,12,12,0,0,0,
DLA,62,8,9,47,12,30,0,0,0,
DoD IG,1,17,17,282,245,286,3,26,54,
DoDEA,2,6,6,3,71,56,0,0,0,
DSS,0,0,0,8,42,62,0,0,0,
DTIC,3,18,16,0,0,0,0,0,0,
DTRA,1,16,16,52,60,88,0,0,0,
EUCOM,0,0,0,38,452,532,0,0,0,
NAVY,299,21,23,1093,75,76,5,19,16,
NGA,0,0,0,72,250,277,0,0,0,
NGB,0,0,0,22,32,50,0,0,0,
NORTHCOM,11,43,78,10,838,607,0,0,0,
NRO,5,5,7,40,122,208,0,0,0,
NSA,563,183,294,90,596,1054,3,555,612,
OSD/JS,28,36,68,1119,552,795,0,0,0,
PACOM,0,0,0,35,730,1035,0,0,0,
SOCOM,0,0,0,155,200,380,0,0,0,
SOUTHCOM,10,10,12,160,101,563,0,0,0,
STRATCOM,0,0,0,1,67,67,0,0,0,
TRANSCOM,0,0,0,34,99,168,0,0,0,
TRICARE,4,25,50,9,49,59,0,0,0,
Total,1876,0,107,6366,0,423,81,0,37,
