,Division (Or Total if not subdivision),1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,Agency,Year
327,NTIS,8,0,0,0,0,0,0,0,0,0,0,0,0,8,DOC,2010
328,OIG,24,2,1,2,1,1,3,0,0,0,0,0,0,34,DOC,2010
329,OS,129,39,1,0,0,0,0,0,0,0,0,0,0,169,DOC,2010
330,PTO,44,196,5,0,0,0,0,0,0,0,0,0,0,245,DOC,2010
331,Total,1078,355,44,11,7,4,5,2,2,2,6,0,2,1518,DOC,2010
332,BIS,22,7,0,0,0,1,0,0,0,0,0,0,0,30,DOC,2011
333,Census,253,65,18,4,8,0,1,1,0,0,1,0,0,351,DOC,2011
334,EDA,45,0,0,0,0,0,0,0,0,0,0,0,0,45,DOC,2011
335,ESA,9,1,0,0,0,0,0,0,0,0,0,0,0,10,DOC,2011
336,ITA,5,5,9,14,4,3,0,1,0,0,0,0,0,41,DOC,2011
337,MBDA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DOC,2011
338,NIST,178,28,11,8,2,4,1,2,0,3,4,3,10,254,DOC,2011
339,NOAA,339,165,76,35,7,13,8,1,2,2,13,6,3,670,DOC,2011
340,NTIA,30,5,0,0,0,0,0,0,0,0,0,0,0,35,DOC,2011
341,NTIS,11,1,0,0,0,0,0,0,0,0,0,0,0,12,DOC,2011
342,OIG,47,9,1,0,0,0,0,0,0,0,0,0,0,57,DOC,2011
343,OS,93,75,27,9,0,0,0,0,0,0,0,0,0,204,DOC,2011
344,PTO,9,294,2,0,0,0,0,0,0,0,0,0,0,305,DOC,2011
345,Total,1041,655,144,70,21,21,10,5,2,5,18,9,13,2014,DOC,2011
346,BIS,28,4,0,1,0,0,0,0,0,0,0,0,0,33,DOC,2012
347,Census,91,57,0,0,0,0,0,0,0,0,0,0,0,148,DOC,2012
348,EDA,19,0,0,0,0,0,0,0,0,0,0,0,0,19,DOC,2012
349,ESA,3,0,0,0,0,0,0,0,0,0,0,0,0,3,DOC,2012
350,ITA,8,7,1,1,2,2,1,0,1,0,3,1,0,27,DOC,2012
351,MBDA,7,0,0,0,0,0,0,0,0,0,0,0,0,7,DOC,2012
352,NIST,159,28,5,6,1,3,0,1,1,0,0,1,1,206,DOC,2012
353,NOAA,106,33,17,4,4,3,2,1,0,2,1,0,0,173,DOC,2012
354,NTIA,23,4,0,0,0,0,0,0,0,0,0,0,0,27,DOC,2012
355,NTIS,11,2,0,0,0,0,0,0,0,0,0,0,0,13,DOC,2012
356,OIG,36,4,2,0,0,0,0,0,0,0,0,0,0,42,DOC,2012
357,OS,91,2,0,0,0,0,0,0,0,0,0,0,0,93,DOC,2012
358,PTO,242,5,0,0,0,0,0,0,0,0,0,0,0,247,DOC,2012
359,Total,824,146,25,12,7,8,3,2,2,2,4,2,1,1038,DOC,2012
360,BIS,19,0,0,0,0,0,0,0,0,0,0,0,0,19,DOC,2013
361,Census,133,0,0,0,0,0,0,0,0,0,0,0,0,133,DOC,2013
362,EDA,16,0,0,0,0,0,0,0,0,0,0,0,0,16,DOC,2013
363,ESA,8,0,0,0,0,0,0,0,0,0,0,0,0,8,DOC,2013
364,ITA,5,0,0,0,0,0,0,0,0,0,0,0,0,5,DOC,2013
365,MBDA,1,0,0,0,0,0,0,0,0,0,0,0,0,1,DOC,2013
366,NIST,149,0,0,0,0,0,0,0,0,0,0,0,0,149,DOC,2013
367,NOAA,129,0,0,0,0,0,0,0,0,0,0,0,0,129,DOC,2013
368,NTIA,83,0,0,0,0,0,0,0,0,0,0,0,0,83,DOC,2013
369,NTIS,3,0,0,0,0,0,0,0,0,0,0,0,0,3,DOC,2013
370,OIG,49,0,0,0,0,0,0,0,0,0,0,0,0,49,DOC,2013
371,OS,54,0,0,0,0,0,0,0,0,0,0,0,0,54,DOC,2013
372,PTO,292,0,0,0,0,0,0,0,0,0,0,0,0,292,DOC,2013
373,Total,941,0,0,0,0,0,0,0,0,0,0,0,0,941,DOC,2013
374,BIS,48,0,0,0,0,0,0,0,0,0,0,0,0,48,DOC,2014
375,Census,276,0,0,0,0,0,0,0,0,0,0,0,0,276,DOC,2014
376,EDA,28,0,0,0,0,0,0,0,0,0,0,0,0,28,DOC,2014
377,ESA,2,0,0,0,0,0,0,0,0,0,0,0,0,2,DOC,2014
378,ITA,3,0,0,0,0,0,0,0,0,0,0,0,0,3,DOC,2014
379,MBDA,2,2,1,0,1,0,0,0,0,0,0,0,0,6,DOC,2014
380,NIST,63,0,0,0,0,0,0,0,0,0,0,0,0,63,DOC,2014
381,NOAA,125,0,0,0,0,0,0,0,0,0,0,0,0,125,DOC,2014
382,NTIA,36,3,1,0,0,0,0,0,0,0,0,0,0,40,DOC,2014
383,NTIS,4,1,0,2,1,0,0,0,0,0,0,0,0,8,DOC,2014
384,OIG,30,7,1,0,0,0,0,0,0,0,0,0,0,38,DOC,2014
385,OS,89,0,0,0,0,0,0,0,0,0,0,0,0,89,DOC,2014
386,PTO,261,0,0,0,0,0,0,0,0,0,0,0,0,261,DOC,2014
387,Total,967,13,3,2,2,0,0,0,0,0,0,0,0,987,DOC,2014
388,BIS,57,0,0,0,0,0,0,0,0,0,0,0,0,57,DOC,2015
389,Census,469,1,0,0,0,0,0,0,0,0,0,0,0,470,DOC,2015
390,EDA,21,0,0,0,0,0,0,0,0,0,0,0,0,21,DOC,2015
391,ESA,6,2,1,0,0,0,0,0,0,0,0,0,0,9,DOC,2015
392,ITA,2,0,0,0,0,0,0,0,0,0,0,0,0,2,DOC,2015
393,MBDA,2,1,2,0,0,0,0,0,0,0,0,0,0,5,DOC,2015
394,NIST,61,0,0,0,0,0,0,0,0,0,0,0,0,61,DOC,2015
395,NOAA,160,95,53,38,20,19,7,13,10,4,27,11,9,466,DOC,2015
396,NTIA,43,1,0,0,0,0,0,0,0,0,0,0,0,44,DOC,2015
397,NTIS,7,5,0,0,0,0,0,0,0,0,0,0,0,12,DOC,2015
398,OIG,74,21,2,1,0,0,0,0,0,0,0,0,0,98,DOC,2015
399,OS,109,20,10,17,7,1,2,4,3,4,7,10,11,205,DOC,2015
400,PTO,301,29,1,0,0,0,0,0,0,0,0,0,0,331,DOC,2015
401,Total,1312,175,69,56,27,20,9,17,13,8,34,21,20,1781,DOC,2015
402,BPA,43,13,2,0,1,2,0,0,1,0,0,0,0,62,DOE,2008
403,CBFO,6,0,0,0,0,0,0,0,0,0,0,0,0,6,DOE,2008
404,CH,35,3,0,0,0,0,0,0,0,0,0,0,0,38,DOE,2008
405,EMCBC,12,7,3,0,4,1,0,0,1,0,0,0,0,28,DOE,2008
406,GFO,22,4,0,0,0,0,0,0,0,0,0,0,0,26,DOE,2008
407,HQ,259,78,48,31,27,25,17,13,14,10,23,4,40,589,DOE,2008
408,ID,22,1,0,0,0,0,0,0,0,0,0,0,0,23,DOE,2008
409,NETL,35,6,6,1,1,1,0,0,0,0,0,0,0,50,DOE,2008
410,NNSA/AL,4,10,12,17,22,19,17,11,17,18,33,125,16,321,DOE,2008
411,NR,4,0,0,2,0,1,0,0,0,0,0,0,0,7,DOE,2008
412,ORO,74,56,44,35,18,9,11,2,3,2,4,0,0,258,DOE,2008
413,OSTI,4,2,0,0,0,0,0,0,0,0,0,0,0,6,DOE,2008
414,PNSO,7,3,0,0,0,0,0,0,0,0,0,0,0,10,DOE,2008
415,RL,73,22,2,1,0,0,0,0,0,0,0,0,0,98,DOE,2008
416,SEPA,2,0,0,0,0,0,0,0,0,0,0,0,0,2,DOE,2008
417,SPR,7,1,0,0,0,0,0,0,0,0,0,0,0,8,DOE,2008
418,SROO,10,9,5,2,2,1,1,1,2,0,6,3,5,47,DOE,2008
419,SWPA,7,0,0,0,0,0,0,0,0,0,0,0,0,7,DOE,2008
420,WAPA,13,1,0,0,0,0,0,0,0,0,0,0,0,14,DOE,2008
421,Total,639,216,122,89,75,59,46,27,38,30,66,132,61,1600,DOE,2008
422,BPA,34,13,3,1,1,0,1,1,0,0,0,0,0,54,DOE,2009
423,CBFO,2,0,0,0,0,0,0,0,0,0,0,0,0,2,DOE,2009
424,CH,42,0,0,0,0,0,0,0,0,0,0,0,0,42,DOE,2009
425,EMCBC,12,13,9,3,3,0,0,0,0,0,0,0,0,40,DOE,2009
426,GFO,36,11,4,4,0,4,3,0,0,0,0,0,0,62,DOE,2009
427,HQ,361,93,45,39,20,11,8,3,2,3,21,18,31,655,DOE,2009
428,ID,37,0,0,0,0,0,0,0,0,0,0,0,0,37,DOE,2009
429,NETL,48,7,3,1,0,2,0,0,0,0,0,0,0,61,DOE,2009
430,NNSA/AL,19,10,3,1,0,0,0,0,0,0,0,0,0,33,DOE,2009
431,NR,10,2,2,1,0,0,0,0,0,0,0,0,0,15,DOE,2009
432,ORO,144,43,27,9,0,0,0,0,0,0,0,0,0,223,DOE,2009
433,OSTI,6,0,0,0,0,0,0,0,0,0,0,0,0,6,DOE,2009
434,PNSO,17,2,0,0,0,0,0,0,0,0,0,0,0,19,DOE,2009
435,RL,59,9,3,0,0,0,0,0,0,0,0,0,0,71,DOE,2009
436,SEPA,7,1,0,0,0,0,0,0,0,0,0,0,0,8,DOE,2009
437,SPR,3,0,0,0,0,0,0,0,0,0,0,0,0,3,DOE,2009
438,SROO,35,8,3,0,2,0,0,0,0,0,0,0,0,48,DOE,2009
439,SWPA,7,0,0,0,0,0,0,0,0,0,0,0,0,7,DOE,2009
440,WAPA,31,1,0,0,0,0,0,0,0,0,0,0,0,32,DOE,2009
441,Total,910,213,102,59,26,17,12,4,2,3,21,18,31,1418,DOE,2009
442,BPA,50,19,6,3,1,0,0,0,0,0,0,0,0,79,DOE,2010
443,CBFO,15,1,0,0,0,0,0,0,0,0,0,0,0,16,DOE,2010
444,CH,44,0,0,0,0,0,0,0,0,0,0,0,0,44,DOE,2010
445,EMCBC,12,4,4,2,0,2,0,0,0,0,1,1,0,26,DOE,2010
446,GFO,103,81,20,2,0,0,0,0,0,0,0,0,0,206,DOE,2010
447,HQ,320,97,79,45,33,24,24,13,13,13,25,12,12,710,DOE,2010
448,ID,31,1,1,0,0,0,0,0,0,0,0,0,0,33,DOE,2010
449,NETL,57,26,1,6,0,0,0,0,0,0,0,0,0,90,DOE,2010
450,NNSA,36,5,6,4,0,0,1,1,0,0,0,0,0,53,DOE,2010
451,NR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DOE,2010
452,NRLFO,7,1,0,1,0,0,0,0,0,0,0,0,0,9,DOE,2010
453,ORO,111,56,12,11,6,3,2,3,0,0,0,0,0,204,DOE,2010
454,OSTI,2,0,0,0,0,0,0,0,0,0,0,0,0,2,DOE,2010
455,ROO,92,12,1,0,0,0,0,0,0,0,1,0,0,106,DOE,2010
456,SEPA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DOE,2010
457,SPR,2,1,0,0,0,0,0,0,0,0,0,0,0,3,DOE,2010
458,SRO,44,7,2,0,0,0,1,0,0,0,0,0,0,54,DOE,2010
459,SWPA,5,1,0,0,0,0,0,0,0,0,0,0,0,6,DOE,2010
460,WAPA,24,0,0,0,0,0,0,0,0,0,0,0,0,24,DOE,2010
461,Total,955,312,132,74,40,29,28,17,13,13,27,13,12,1665,DOE,2010
462,BPA,52,21,7,6,1,1,2,1,0,1,0,0,0,92,DOE,2011
463,CBFO,5,1,0,0,0,0,0,0,0,0,0,0,0,6,DOE,2011
464,CH,53,0,0,0,0,0,0,0,0,0,0,0,0,53,DOE,2011
465,EMCBC,10,11,2,5,3,1,0,1,1,0,0,1,0,35,DOE,2011
466,GFO,199,33,4,5,0,1,0,0,0,0,0,0,0,242,DOE,2011
467,HQ,392,125,51,46,32,19,15,17,11,3,24,9,12,756,DOE,2011
468,ID,26,5,1,0,0,0,0,0,0,0,0,0,0,32,DOE,2011
469,NETL,50,15,6,0,0,0,0,0,0,0,0,0,0,71,DOE,2011
470,NNSA,17,2,0,0,0,1,0,1,0,0,0,0,0,21,DOE,2011
471,NR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DOE,2011
472,NRLFO,9,3,0,1,0,0,0,0,0,1,0,0,0,14,DOE,2011
473,ORO,141,50,7,0,0,0,0,0,0,0,0,0,0,198,DOE,2011
474,OSTI,2,2,1,0,0,0,0,0,0,0,0,0,0,5,DOE,2011
475,ROO,72,3,2,0,0,0,0,0,0,0,0,0,0,77,DOE,2011
476,SEPA,4,1,0,0,0,0,0,0,0,0,0,0,0,5,DOE,2011
477,SPR,10,4,0,0,0,0,0,0,0,0,0,0,0,14,DOE,2011
478,SRO,58,2,0,1,0,0,0,0,0,0,0,1,0,62,DOE,2011
479,SWPA,3,0,0,0,0,0,0,0,0,0,0,0,0,3,DOE,2011
480,WAPA,35,1,0,0,0,0,0,0,0,0,0,0,0,36,DOE,2011
481,Total,1138,279,81,64,36,23,17,20,12,5,24,11,12,1722,DOE,2011
482,BPA,33,5,2,1,0,0,0,0,0,0,0,0,0,41,DOE,2012
483,CBFO,13,0,0,0,0,0,0,0,1,0,0,0,0,14,DOE,2012
484,CH,58,1,0,0,0,0,0,0,0,0,0,0,0,59,DOE,2012
485,EMCBC,17,9,7,3,0,0,0,3,0,0,1,0,0,40,DOE,2012
486,GFO,243,17,4,1,1,1,1,0,0,0,0,0,0,268,DOE,2012
487,HQ,352,102,87,51,35,33,20,16,12,7,35,12,16,778,DOE,2012
488,ID,37,2,0,0,0,0,0,0,0,0,0,0,0,39,DOE,2012
489,NETL,30,13,6,0,1,0,0,0,0,0,0,0,0,50,DOE,2012
490,NNSA,15,1,1,1,0,0,0,0,0,0,0,0,1,19,DOE,2012
491,NR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DOE,2012
492,NRLFO,3,2,1,0,0,0,0,0,0,0,0,1,0,7,DOE,2012
493,ORO,103,69,33,18,9,3,0,1,1,0,0,0,0,237,DOE,2012
494,OSTI,11,0,1,0,0,0,0,0,0,0,0,0,0,12,DOE,2012
495,ROO,78,12,1,2,1,0,0,0,0,0,0,0,0,94,DOE,2012
496,SEPA,6,0,0,0,0,0,0,0,0,0,0,0,0,6,DOE,2012
497,SPR,6,0,0,0,0,0,0,0,0,0,0,0,0,6,DOE,2012
498,SRO,37,3,0,1,0,0,0,0,0,0,0,0,0,41,DOE,2012
499,SWPA,9,1,0,0,0,0,0,0,0,0,0,0,0,10,DOE,2012
500,WAPA,33,0,0,1,0,0,0,0,0,0,0,0,0,34,DOE,2012
501,Total,1084,237,143,79,47,37,21,20,14,7,36,13,17,1755,DOE,2012
502,BPA,48,8,1,1,0,0,0,0,0,0,0,0,0,58,DOE,2013
503,CBFO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DOE,2013
504,CH,52,0,0,1,0,0,0,0,0,0,0,0,0,53,DOE,2013
505,EMCBC,28,9,6,3,3,1,1,2,0,1,0,0,0,54,DOE,2013
506,GFO,233,6,10,3,0,1,0,0,0,0,0,0,0,253,DOE,2013
507,HQ,383,101,48,25,20,15,13,7,7,1,9,6,0,635,DOE,2013
508,ID,34,3,0,0,0,0,0,0,0,0,0,0,0,37,DOE,2013
509,NETL,23,2,3,0,0,0,0,0,0,0,1,0,0,29,DOE,2013
510,NNSA,9,0,0,0,0,0,0,0,0,0,0,0,0,9,DOE,2013
511,NR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DOE,2013
512,NRLFO,3,3,1,0,0,0,1,0,0,0,0,0,0,8,DOE,2013
513,ORO,121,44,10,5,1,1,3,0,0,0,3,0,0,188,DOE,2013
514,OSTI,5,1,0,0,0,0,0,0,0,0,0,0,0,6,DOE,2013
515,ROO,76,14,2,0,0,0,1,0,0,0,0,0,0,93,DOE,2013
516,SEPA,5,0,0,0,0,0,0,0,0,0,0,0,0,5,DOE,2013
517,SPR,1,0,0,0,0,0,0,0,0,0,0,0,0,1,DOE,2013
518,SRO,34,4,2,2,0,0,0,0,0,0,0,0,0,42,DOE,2013
519,SWPA,7,0,0,0,0,0,0,0,0,0,0,0,0,7,DOE,2013
520,WAPA,22,1,0,0,0,0,0,0,0,0,0,0,0,23,DOE,2013
521,Total,1084,196,83,40,24,18,19,9,7,2,13,6,0,1501,DOE,2013
522,BPA,66,7,1,1,1,0,0,0,0,0,1,0,0,77,DOE,2014
523,CBFO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DOE,2014
524,CH,51,0,0,0,0,0,0,0,0,0,0,0,0,51,DOE,2014
525,EMCBC,24,7,5,7,5,0,0,1,1,2,4,1,1,58,DOE,2014
526,GFO,306,25,5,0,0,0,0,0,0,0,0,0,0,336,DOE,2014
527,HQ,325,108,63,32,18,13,3,4,3,5,9,7,21,611,DOE,2014
528,ID,26,0,0,0,0,0,0,0,0,0,0,0,0,26,DOE,2014
529,NETL,14,5,1,0,0,0,0,0,0,0,0,0,0,20,DOE,2014
530,NNSA,11,0,0,0,0,0,0,0,0,0,0,1,1,13,DOE,2014
531,NR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DOE,2014
532,NRLFO,6,0,0,0,0,0,0,0,0,0,0,0,0,6,DOE,2014
533,ORO,140,32,26,3,1,0,0,0,1,0,1,0,2,206,DOE,2014
534,OSTI,13,0,0,0,0,1,0,0,0,0,0,0,0,14,DOE,2014
535,ROO,68,9,6,1,1,1,0,0,1,0,0,0,0,87,DOE,2014
536,SEPA,5,0,0,0,0,0,0,0,0,0,0,0,0,5,DOE,2014
537,SPR,3,1,0,0,0,0,0,0,0,0,0,0,0,4,DOE,2014
538,SRO,17,5,1,1,0,2,0,0,0,0,0,0,1,27,DOE,2014
539,SWPA,6,3,0,0,0,0,0,0,0,0,0,0,0,9,DOE,2014
540,WAPA,17,0,0,0,0,0,0,0,0,0,0,0,0,17,DOE,2014
541,Total,1098,202,108,45,26,17,3,5,6,7,15,9,26,1567,DOE,2014
542,BPA,51,9,3,2,0,1,0,0,0,0,0,0,0,66,DOE,2015
543,CBFO,13,1,0,0,0,0,0,0,0,0,0,0,0,14,DOE,2015
544,CH,63,0,0,0,0,0,0,0,0,0,0,0,0,63,DOE,2015
545,EMCBC,18,12,6,3,3,3,1,3,1,1,0,1,0,52,DOE,2015
546,GFO,104,3,0,0,0,0,0,0,0,0,0,0,0,107,DOE,2015
547,HQ,455,181,86,38,31,15,19,12,11,1,9,0,6,864,DOE,2015
548,ID,41,5,0,0,0,0,0,0,0,0,0,0,0,46,DOE,2015
549,NETL,19,3,1,0,0,0,0,0,1,0,0,0,0,24,DOE,2015
550,NNSA,11,0,0,0,0,0,0,0,0,0,0,0,1,12,DOE,2015
551,NR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DOE,2015
552,NRLFO,1,0,1,0,0,0,0,0,0,0,0,0,0,2,DOE,2015
553,ORO,154,20,4,5,0,0,0,0,0,0,0,0,0,183,DOE,2015
554,OSTI,35,1,0,0,1,2,1,0,0,0,0,0,1,41,DOE,2015
555,ROO,79,14,2,2,0,0,0,1,0,0,0,0,0,98,DOE,2015
556,SEPA,24,0,0,0,0,0,0,0,0,0,0,0,0,24,DOE,2015
557,SPR,15,0,1,0,0,0,0,0,0,0,0,0,0,16,DOE,2015
558,SRO,38,1,1,2,1,0,0,0,1,0,1,0,0,45,DOE,2015
559,SWPA,19,1,2,0,0,0,0,0,0,0,0,0,0,22,DOE,2015
560,WAPA,46,2,1,1,0,0,0,0,0,0,0,0,0,50,DOE,2015
561,Total,1186,253,108,53,36,21,21,16,14,2,10,1,8,1729,DOE,2015
562,BIA,150,0,0,0,0,0,0,0,0,0,0,0,0,150,DOI,2008
563,BLM,36,0,0,0,0,0,0,0,0,0,0,0,0,36,DOI,2008
564,BOR,11,0,0,0,0,0,0,0,0,0,0,0,0,11,DOI,2008
565,FWS,22,0,0,1,0,0,0,0,0,0,0,0,0,23,DOI,2008
566,MMS,2,0,0,0,0,0,0,0,0,0,0,0,0,2,DOI,2008
567,NPS,112,0,0,0,0,0,0,0,0,0,0,0,0,112,DOI,2008
568,OIG,5,2,0,0,1,0,0,0,0,0,0,0,0,8,DOI,2008
569,OS,118,0,0,0,0,0,0,0,0,0,0,0,0,118,DOI,2008
570,OSM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DOI,2008
571,SOL,14,7,3,6,3,2,2,2,0,0,1,2,2,44,DOI,2008
572,USGS,18,0,0,0,0,0,0,0,0,0,0,0,0,18,DOI,2008
573,Total,488,9,3,7,4,2,2,2,0,0,1,2,2,522,DOI,2008
574,BIA,141,0,0,0,0,0,0,0,0,0,0,0,0,141,DOI,2009
575,BLM,46,0,0,0,0,0,0,0,0,0,0,0,0,46,DOI,2009
576,BOR,3,0,0,0,0,0,0,0,0,0,0,0,0,3,DOI,2009
577,FWS,22,4,0,0,0,0,0,0,0,0,0,0,0,26,DOI,2009
578,MMS,2,0,0,0,0,0,0,0,0,0,0,0,0,2,DOI,2009
579,NPS,109,0,0,0,0,0,0,0,0,0,0,0,0,109,DOI,2009
580,OIG,1,1,3,1,0,0,0,0,0,1,0,0,0,7,DOI,2009
581,OS,17,0,0,0,0,0,0,0,0,0,0,0,0,17,DOI,2009
582,OSM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DOI,2009
583,SOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DOI,2009
584,USGS,7,0,0,0,0,0,0,0,0,0,0,0,0,7,DOI,2009
585,Total,348,5,3,1,0,0,0,0,0,1,0,0,0,358,DOI,2009
586,BIA,205,1,1,0,0,0,0,0,0,0,0,0,0,207,DOI,2010
587,BLM,52,1,1,0,0,0,0,0,0,0,0,0,0,54,DOI,2010
588,BOEMRE,15,0,0,0,0,0,0,0,0,0,0,0,0,15,DOI,2010
589,BOR,8,0,0,1,0,0,0,0,0,0,0,0,0,9,DOI,2010
590,FWS,21,0,0,0,0,0,0,0,0,0,0,0,0,21,DOI,2010
591,NPS,11,0,1,0,0,0,0,0,0,0,0,0,0,12,DOI,2010
592,OIG,5,0,0,0,0,0,0,0,0,0,0,0,0,5,DOI,2010
593,OS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DOI,2010
594,OSM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DOI,2010
595,SOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DOI,2010
596,USGS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DOI,2010
597,Total,317,2,3,1,0,0,0,0,0,0,0,0,0,323,DOI,2010
598,BIA,497,1,0,0,0,0,0,0,0,0,0,0,0,498,DOI,2011
599,BLM,58,1,1,0,0,0,0,0,0,0,0,0,0,60,DOI,2011
600,BOEMRE,5,0,0,0,0,0,0,0,0,0,0,0,0,5,DOI,2011
601,BOR,3,1,0,0,0,0,0,0,0,0,0,0,0,4,DOI,2011
602,FWS,10,0,0,0,0,0,0,0,0,0,0,0,0,10,DOI,2011
603,NPS,4,0,1,0,0,0,0,0,0,0,0,0,0,5,DOI,2011
604,OIG,20,6,1,0,0,0,0,0,0,0,0,0,0,27,DOI,2011
605,OS,2,0,0,0,0,0,0,0,0,0,0,0,0,2,DOI,2011
606,OSM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DOI,2011
607,SOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DOI,2011
608,USGS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DOI,2011
609,Total,599,9,3,0,0,0,0,0,0,0,0,0,0,611,DOI,2011
610,BIA,483,1,0,0,0,0,0,0,0,0,0,0,0,484,DOI,2012
611,BLM,65,0,0,0,0,0,0,0,0,0,0,0,0,65,DOI,2012
612,BOEM,8,1,0,0,0,0,0,0,0,0,0,0,0,9,DOI,2012
613,BOR,2,0,0,0,0,0,0,0,0,0,0,0,0,2,DOI,2012
614,BSEE,2,0,0,0,0,0,0,0,0,0,0,0,0,2,DOI,2012
615,FWS,12,1,0,0,0,0,0,0,0,0,0,0,0,13,DOI,2012
616,NPS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DOI,2012
617,OIG,14,0,1,0,1,0,0,0,0,0,0,0,0,16,DOI,2012
618,OS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DOI,2012
619,OSM,2,0,0,0,0,0,0,0,0,0,0,0,0,2,DOI,2012
620,SOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DOI,2012
621,USGS,3,0,0,0,0,0,0,0,0,0,0,0,0,3,DOI,2012
622,Total,591,3,1,0,1,0,0,0,0,0,0,0,0,596,DOI,2012
623,BIA,314,2,0,0,0,0,0,0,0,0,0,0,0,316,DOI,2013
624,BLM,37,0,0,0,0,0,0,0,0,0,0,0,0,37,DOI,2013
625,BOEM,6,0,0,0,0,0,0,0,0,0,0,0,0,6,DOI,2013
626,BOR,13,0,0,0,0,0,0,0,0,0,0,0,0,13,DOI,2013
627,BSEE,8,0,0,0,0,0,0,0,0,0,0,0,0,8,DOI,2013
628,FWS,47,0,1,0,0,0,0,0,0,0,0,0,0,48,DOI,2013
629,NPS,6,2,0,0,0,0,0,0,0,0,0,0,0,8,DOI,2013
630,OIG,8,2,0,0,0,1,0,0,0,0,0,0,0,11,DOI,2013
631,OS,1,0,0,0,0,0,0,0,0,0,0,0,0,1,DOI,2013
632,OSM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DOI,2013
633,SOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DOI,2013
634,USGS,2,0,0,0,0,0,0,0,0,0,0,0,0,2,DOI,2013
635,Total,442,6,1,0,0,1,0,0,0,0,0,0,0,450,DOI,2013
636,BIA,158,2,0,0,0,0,0,0,0,0,0,0,0,160,DOI,2014
637,BLM,31,3,0,0,0,0,0,0,0,0,0,0,0,34,DOI,2014
638,BOEM,7,0,0,0,0,0,0,0,0,0,0,0,0,7,DOI,2014
639,BOR,14,0,0,0,0,0,0,0,0,0,0,0,0,14,DOI,2014
640,BSEE,3,0,0,0,0,0,0,0,0,0,0,0,0,3,DOI,2014
641,FWS,37,3,1,0,0,0,0,0,0,0,0,0,0,41,DOI,2014
642,NPS,8,1,1,0,0,0,0,0,0,0,0,0,0,10,DOI,2014
643,OIG,16,0,0,0,0,0,0,0,0,0,0,0,0,16,DOI,2014
644,OS,2,0,0,0,0,0,0,0,0,0,0,0,0,2,DOI,2014
645,OSM,1,0,0,0,0,0,0,0,0,0,0,0,0,1,DOI,2014
646,SOL,1,0,0,0,0,0,0,0,0,0,0,0,0,1,DOI,2014
647,USGS,1,0,0,0,0,0,0,0,0,0,0,0,0,1,DOI,2014
648,Total,279,9,2,0,0,0,0,0,0,0,0,0,0,290,DOI,2014
649,BIA,110,1,0,0,0,0,0,0,0,0,0,0,0,111,DOI,2015
650,BLM,39,4,0,0,0,0,0,0,0,0,0,0,0,43,DOI,2015
651,BOEM,35,2,1,0,0,0,0,0,0,0,0,0,0,38,DOI,2015
652,BOR,27,1,0,0,0,0,0,0,0,0,0,0,0,28,DOI,2015
653,BSEE,19,0,0,0,0,0,0,0,0,0,0,0,0,19,DOI,2015
654,FWS,65,2,0,0,0,0,0,0,0,0,0,0,0,67,DOI,2015
655,NPS,65,4,2,3,2,0,1,0,1,0,2,1,2,83,DOI,2015
656,OIG,68,1,0,0,0,0,0,0,0,0,0,0,0,69,DOI,2015
657,OS,8,0,0,0,0,0,0,0,0,0,0,0,0,8,DOI,2015
658,OSM,2,0,0,0,0,0,0,0,0,0,0,0,0,2,DOI,2015
659,SOL,7,1,1,0,0,0,0,0,0,0,0,0,0,9,DOI,2015
660,USGS,7,0,0,0,0,0,0,0,0,0,0,0,0,7,DOI,2015
661,Total,452,16,4,3,2,0,1,0,1,0,2,1,2,484,DOI,2015
662,Office of the AG,34,24,14,8,5,4,3,2,6,2,8,7,7,124,DOJ,2008
