,Division (Or Total if not subdivision),1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,Agency,Year
79,Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CIGIE,2009
80,Total,0,1,0,0,0,0,0,0,0,0,0,0,0,1,CIGIE,2010
81,Total,17,1,1,0,0,0,0,0,0,0,0,0,0,19,CIGIE,2011
82,Total,28,6,0,0,0,0,0,0,0,0,0,0,0,34,CIGIE,2012
83,Total,11,13,1,0,0,0,0,0,0,0,0,0,0,25,CIGIE,2013
84,Total,26,1,6,3,0,0,0,0,0,0,2,0,0,38,CIGIE,2014
85,Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CIGIE,2015
86,Total,45,0,0,0,0,0,0,0,0,0,0,0,0,45,CNCS,2008
87,Total,53,5,0,0,0,0,0,0,0,0,0,0,0,58,CNCS,2009
88,Total,40,10,4,3,1,0,0,0,0,0,0,0,0,58,CNCS,2010
89,Total,37,15,0,1,0,0,0,0,0,0,0,0,0,53,CNCS,2011
90,Total,12,11,2,0,3,1,0,0,0,0,0,0,0,29,CNCS,2012
91,Total,20,8,3,5,1,0,1,0,0,1,2,0,0,41,CNCS,2013
92,Total,37,1,1,0,0,0,0,0,0,0,0,0,0,39,CNCS,2014
93,Total,25,2,0,0,0,0,0,0,0,0,0,0,0,27,CNCS,2015
94,Total,40,2,1,1,0,0,0,0,0,1,0,0,0,45,CO,2008
95,Total,17,3,0,0,0,0,1,0,1,1,5,4,0,32,CO,2009
96,Total,35,4,1,0,0,0,0,0,0,0,4,0,0,44,CO,2010
97,Total,30,10,0,0,0,0,0,0,0,0,0,0,0,40,CO,2011
98,Total,29,6,0,1,0,1,0,1,0,0,0,0,0,38,CO,2012
99,Total,29,2,1,0,1,0,0,0,0,0,0,0,0,33,CO,2013
100,Total,23,5,2,0,0,0,0,0,0,0,0,0,0,30,CO,2014
101,Total,24,5,0,0,2,0,0,0,0,0,0,0,0,31,CO,2015
102,Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CPPBSD,2008
103,Total,7,1,0,0,0,0,0,0,0,0,0,0,0,8,CPPBSD,2009
104,Total,6,0,0,0,0,0,0,0,0,0,0,0,0,6,CPPBSD,2010
105,Total,14,0,0,0,0,0,0,0,0,0,0,0,0,14,CPPBSD,2011
106,Total,5,0,0,0,0,0,0,0,0,0,0,0,0,5,CPPBSD,2012
