Agency,Average Number of Days,Component,Highest Number of Days,Lowest Number of Days,Median Number of Days,Year
FCC,388.0,FCC,1120.0,150.0,311.0,2008
FCSIC,0.0,FCSIC,0.0,0.0,0.0,2008
FDIC,15.0,FDIC,15.0,15.0,15.0,2008
FEC,0.0,FEC,0.0,0.0,0.0,2008
FERC,27.0,FERC,30.0,20.0,28.0,2008
FFIEC,0.0,FFIEC,0.0,0.0,0.0,2008
FLRA,0.0,FSIP,0.0,0.0,0.0,2008
FLRA,28.0,Authority,34.0,21.0,28.0,2008
FLRA,19.0,OGC,21.0,15.0,20.0,2008
FMC,0.0,FMC,0.0,0.0,0.0,2008
FMCS,0.0,FMCS,0.0,0.0,0.0,2008
FMSHRC,0.0,FMSHRC,0.0,0.0,0.0,2008
FOMC,0.0,FOMC,0.0,0.0,0.0,2008
FRB,18.0,FRB,20.0,15.0,18.0,2008
FTC,13.8,FTC,20.0,9.0,14.0,2008
GSA,35.0,GSA,65.0,16.0,34.0,2008
HHS,1765.0,CMS,4152.0,38.0,1679.0,2008
HHS,322.0,OS,1060.0,1.0,218.0,2008
HUD,0.0,Agency,0.0,0.0,0.0,2008
IAF,0.0,IAF,0.0,0.0,0.0,2008
IMLS,0.0,IMLS,0.0,0.0,0.0,2008
MSPB,15.9,MSPB,30.0,2.0,20.0,2008
NARA,70.23,NARA,398.0,1.0,34.0,2008
NASA,114.0,OGC,208.0,1.0,135.0,2008
NCUA,24.3,NCUA,40.0,6.0,27.0,2008
NEH,28.5,NEH,29.0,28.0,28.5,2008
NIGC,18.3,NIGC,24.0,9.0,22.0,2008
NMB,20.0,NMB,20.0,20.0,20.0,2008
NRPC,44.0,NRPC,44.0,44.0,44.0,2008
NSF,16.4,Foundation,20.0,6.0,20.0,2008
NSF,0.0,OIG,0.0,0.0,0.0,2008
OGE,0.0,OGE,0.0,0.0,0.0,2008
OMB,28.0,OMB,41.0,18.0,24.0,2008
ONDCP,0.0,OLC,0.0,0.0,0.0,2008
OPIC,28.0,OPIC,42.0,15.0,28.0,2008
OPM,45.69,OPM,205.0,7.0,28.0,2008
OSHRC,0.0,OSHRC,0.0,0.0,0.0,2008
OSTP,0.0,OSTP,0.0,0.0,0.0,2008
PC,27.0,FOIA Office,27.0,27.0,27.0,2008
PC,88.0,OIG,88.0,88.0,88.0,2008
PRC,0.0,PRC,0.0,0.0,0.0,2008
SBA,16.6,SBA,30.0,1.0,18.5,2008
SEC,46.0,HQ,619.0,1.0,17.0,2008
SSA,60.0,SSA,128.0,15.0,55.0,2008
SSS,0.0,SSS,0.0,0.0,0.0,2008
State,592.0,DoS,2232.0,0.0,555.0,2008
STB,0.0,STB,0.0,0.0,0.0,2008
Treasury,20.0,BEP,20.0,20.0,20.0,2008
Treasury,0.0,BPD,0.0,0.0,0.0,2008
Treasury,63.0,DO,84.0,49.0,57.0,2008
Treasury,174.0,FinCEN,583.0,11.0,85.0,2008
Treasury,13.0,FMS,17.0,9.0,13.0,2008
Treasury,52.0,IRS,153.0,2.0,44.0,2008
Treasury,0.0,MINT,0.0,0.0,0.0,2008
Treasury,65.0,OCC,163.0,9.0,60.0,2008
Treasury,0.0,OTS,0.0,18.0,0.0,2008
Treasury,103.0,TIGTA,512.0,13.0,64.0,2008
Treasury,58.0,TTB,75.0,41.0,60.0,2008
TVA,19.0,TVA,20.0,17.0,20.0,2008
