SERO Dealer,Permit,Dealer,Address,City,State,Zipcode,Effective Date,Expiration Date
2744,HMS-ITP,NEW SEAFOOD INC,1731 N SPRING STREET,LOS ANGELES,CA,90012,01/11/2016,06/30/2017
2762,HMS-ITP,M P I FISHERIES IMPORT INC,1912 EAST VERNON AVE,VERNON,CA,90058,06/01/2016,06/30/2017
2761,HMS-ITP,SUPER MARINE INTERNATIONAL INC,10841 SOUTH FREMONT AVE,MONTCLAIR,CA,91762,09/01/2016,09/30/2017
2800,HMS-ITP,AKT TRADING INC,"2161 W 182ND ST , 102",TORRANCE,CA,90504,07/22/2016,03/31/2017
2808,HMS-ITP,GENESIS COMMERCIAL TRADING INC,PO BOX 11129,LOS ANGELES,CA,90011,08/08/2016,02/28/2018
802,HMS-ITP,T M TOBIN CO INC,"1291 E HILLSDALE BLVD, #300",FOSTER CITY,CA,94404,08/01/2016,08/31/2017
2242,HMS-ITP,BLUE SEA LLC,2109 R ST NW,WASHINGTON,DC,20008,07/01/2016,07/31/2017
1252,HMS-ITP,CARDON INTERNATIONAL INC,"1640 TOWN CENTER CIRCLE, SUITE 200",WESTON,FL,33326,02/01/2016,02/28/2017
2266,HMS-ITP,SEA MART CORP,10711 SW 104 ST,MIAMI,FL,33176,08/01/2016,08/31/2017
1523,HMS-ITP,ANYTIME TUNA INC,8007 N SAVANNAH CIRCLE,DAVIE,FL,33328,06/01/2016,06/30/2017
146,HMS-ITP,SEAFOOD ATLANTIC INC,4065 TANGELO AVE,COCOA,FL,32926,03/01/2016,03/31/2017
1420,HMS-ITP,BAY N GULF INC,PO BOX 530188,ST PETERSBURG,FL,33747,04/01/2016,04/30/2017
1199,HMS-ITP,STOKES FISH CO,PO BOX 490298,LEESBURG,FL,34749,07/01/2016,07/31/2017
1410,HMS-ITP,A D S SEAFOOD LLC,PO BOX 668350,MIAMI,FL,33166,09/01/2016,09/30/2017
1235,HMS-ITP,BEAVER STREET FISHERIES INC,PO BOX 41430,JACKSONVILLE,FL,32203-1430,04/01/2016,04/30/2017
1256,HMS-ITP,SEAFARERS INC,"5900 NW 97TH AVE, SUITE 18",MIAMI,FL,33178,02/01/2016,02/28/2017
1659,HMS-ITP,SEA DELIGHT LLC,8195 NW 67TH ST,MIAMI,FL,33166,02/01/2016,02/28/2017
809,HMS-ITP,N J ROSS & ASSOC DBA BLUE HORIZONS,4715 ORDUN DR,CORAL GABLES,FL,33146,05/01/2016,05/31/2017
1205,HMS-ITP,TROPICAL MARINE PRODUCTS INC,"1301 NW 89 COURT, SUITE 208",MIAMI,FL,33172,04/01/2016,04/30/2017
1988,HMS-ITP,GENESIS SEAFOOD INC,8012 NW 158 TERR,MIAMI LAKES,FL,33016,05/01/2016,05/31/2017
2052,HMS-ITP,MRB TRADING CORP,PO BOX 490628,MIAMI,FL,33149,02/01/2016,02/28/2017
2103,HMS-ITP,TROPIC STAR SEAFOOD INC,PO BOX 5260,LAKELAND,FL,33807,05/01/2016,05/31/2017
2123,HMS-ITP,Q PLUS FOOD LLC,PO BOX 24415,FORT LAUDERDALE,FL,33307,04/01/2016,04/30/2017
2152,HMS-ITP,SUPER FISH SEAFOOD CORP,7101 NW 77TH TERRACE,MEDLEY,FL,33166,08/01/2016,08/31/2017
2206,HMS-ITP,ALTAMAR FOODS CORP,"511 SE 5TH AVE, SUITE 3",FORT LAUDERDALE,FL,33301,04/01/2016,04/30/2017
2309,HMS-ITP,DALDO INTERNATIONAL SEAFOOD,1536 BREAKWATER TERR,HOLLYWOOD,FL,33019,08/01/2016,08/31/2017
2454,HMS-ITP,ATLANTICA IMPORTS INC,4374 FOXTAIL LANE,WESTON,FL,33331,04/01/2016,04/30/2017
2459,HMS-ITP,PESCATLANTIC GROUP LLC,"6100 BLUE LAGOON DRIVE, SUITE 325",MIAMI,FL,33126,06/01/2016,06/30/2017
2259,HMS-ITP,ANOVA FOOD LLC,"3104 CHERRY PALM DR, SUITE 230",TAMPA,FL,33619,05/01/2016,05/31/2017
2495,HMS-ITP,TUNA MAR INTERNATIONAL LLC,"9600 NW 38TH STREET, SUITE #215",DORAL,FL,33178,02/01/2016,02/28/2017
2721,HMS-ITP,TRUE GRADE LLC,PO BOX 526944,MIAMI,FL,33152,11/17/2015,05/31/2017
2384,HMS-ITP,STOKES FISH COMPANY,625 C/R 468,LEESBURG,FL,34748,09/01/2016,09/30/2017
2606,HMS-ITP,HOLLY TRADING CORPORATION,23426 TORRE CIRCLE,BOCA RATON,FL,33433,04/01/2016,04/30/2017
2617,HMS-ITP,MIAMI QUALITY SEAFOOD CORP,7101 NW 77TH TER,MEDLEY,FL,33166,09/01/2016,09/30/2017
2205,HMS-ITP,BAR HARBOR LOBSTER CO INC,2000 PREMIER ROW,ORLANDO,FL,32809,07/01/2016,07/31/2017
1259,HMS-ITP,ALFA INTERNATIONAL SEAFOOD INC,7850 NW SOUTH RIVER DR,MEDLEY,FL,33166,02/01/2016,02/28/2017
1604,HMS-ITP,DEKALB FARMERS MARKET,3000 EAST PONCE DE LEON AVE,DECATUR,GA,30030,06/01/2016,06/30/2017
2813,HMS-ITP,SOUTHEAST COASTAL LOGISTICS LLC,"35 BARNARD ST, STE 300",SAVANNAH,GA,31401,08/16/2016,03/31/2017
1994,HMS-ITP,INLAND SEAFOOD,1651 MONTREAL CIR,TUCKER,GA,30084,03/01/2016,03/31/2017
2742,HMS-ITP,UNITED FISHERIES CORPORATION,PO BOX 27726,BARRIGADA,GU,96921,12/02/2015,06/30/2017
1528,HMS-ITP,NEW ZEALAND SEAFOODS OF HAWAII,PO BOX 30308,HONOLULU,HI,96820,03/01/2016,03/31/2017
870,HMS-ITP,PACIFIC TRADE INTERNATIONAL INC,55 HOLOMUA STREET,HILO,HI,96720,05/01/2016,05/31/2017
1241,HMS-ITP,KONA FISH COMPANY INC,55 HOLOMUA STREET,HILO,HI,96720,02/01/2016,02/28/2017
1868,HMS-ITP,VAK FISHERIES LLC,501 N NIMITZ HWY PIER 19,HONOLULU,HI,96817,03/01/2016,03/31/2017
2822,HMS-ITP,LEOC USA INC,1726 SOUTH KING ST,HONOLULU,HI,96826,09/08/2016,02/28/2018
1880,HMS-ITP,TROPIC FISH HAWAII LLC,"2312 KAMEHAMEHA HWY, UNIT E-5",HONOLULU,HI,96819,04/01/2016,04/30/2017
2414,HMS-ITP,JFC INTERNATIONAL INC,887 NORTH NIMITZ HWY,HONOLULU,HI,96817,09/01/2016,09/30/2017
2349,HMS-ITP,UNITED FISHING AGENCY LTD,1131 N NIMITZ HWY,HONOLULU,HI,96817,08/01/2016,08/31/2017
1767,HMS-ITP,HKH JVC LLC DBA NORPAC FISHERIES,"EXPORT, 1535 COLBURN STREET",HONOLULU,HI,96817,03/01/2016,03/31/2017
1568,HMS-ITP,YAMASHO INC,750 TOUHY AVE,ELK GROVE VILLAGE,IL,60007,07/01/2016,07/31/2017
2819,HMS-ITP,MARTINEZ PRODUCE AND SEAFOOD,340 N SACRAMENTO BLVD,CHICAGO,IL,60612,09/14/2016,01/31/2018
2776,HMS-ITP,OCEAN PROVIDENCE CHICAGO LLC,1020 W HUBBARD ST,CHICAGO,IL,60642,05/03/2016,02/28/2017
2565,HMS-ITP,FORTUNE FISH COMPANY,1068 THORNDALE AVE,BENSENVILLE,IL,60106,06/01/2016,06/30/2017
1910,HMS-ITP,OCEAN FRESH SEAFOOD LLC,2216 DUBLIN ST,NEW ORLEANS,LA,70118,08/01/2016,08/31/2017
1209,HMS-ITP,JENSEN TUNA INC,5885 HWY 311,HOUMA,LA,70360,04/01/2016,04/30/2017
1223,HMS-ITP,TASTY SEAFOOD COMPANY,13 MARCONI LANE,MARION,MA,2738,03/01/2016,03/31/2017
