Statute,Type of Information Withheld,Case Citation,Number of Times Relied upon per Component,Number of Times Relied upon per Component,Total Number of Times Relied upon by Agency
35 U.S.C. § 122,Applications for patents - certain information pertaining to applications for patents,"Irons & Sears v. Dann, 606 F.2d 1215, 1219-21 (D.C.Cir.1979.)",2,OGC,2
35 U.S.C. § 122,Applications for patents - certain information pertaining to applications for patents,"Irons & Sears v. Dann, 606 F.2d 1215, 1219-21 (D.C.Cir.1979.)",0,OIG,2
