Component,Processing Costs,Litigation-Related Costs,Total Costs,Collected Amount,Collected Percentage,
DoS,29168751,3991167.1,33159918.1,8245.26,0.03%,
OIG,247858,0,247858,0,0.0%,
Total,29416609,3991167,33407776,8245,N/A,
