Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,
HQ,486,0,0,0,0,0,0,0,0,0,0,0,0,486,
Region 1,238,0,0,0,0,0,0,0,0,0,0,0,0,238,
Region 2,738,0,0,0,0,0,0,0,0,0,0,0,0,738,
Region 3,221,0,0,0,0,0,0,0,0,0,0,0,0,221,
Region 4,297,0,0,0,0,0,0,0,0,0,0,0,0,297,
Region 5,1376,0,0,0,0,0,0,0,0,0,0,0,0,1376,
Region 6,20,0,0,0,0,0,0,0,0,0,0,0,0,20,
Region 7,245,0,0,0,0,0,0,0,0,0,0,0,0,245,
Region 8,212,0,0,0,0,0,0,0,0,0,0,0,0,212,
Region 9,589,0,0,0,0,0,0,0,0,0,0,0,0,589,
Region 10,254,0,0,0,0,0,0,0,0,0,0,0,0,254,
Total,4676,0,0,0,0,0,0,0,0,0,0,0,0,4676,
