Component,Ex. 1,Ex. 2,Ex. 3,Ex. 4,Ex. 5,Ex. 6,Ex. 7(A),Ex. 7(B),Ex. 7(C),Ex. 7(D),Ex. 7(E),Ex. 7(F),Ex. 8,Ex. 9,
NARA,368,15,240,5,36,248,4,0,120,207,44,12,1,0,
Total,368,15,240,5,36,248,4,0,120,207,44,12,1,0,
