Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,
ATLANTA,1268,129,20,5,0,0,0,0,0,0,1,0,0,1423,
BIRMINGHAM,500,476,22,0,0,0,0,0,0,0,0,0,0,998,
CHARLOTTE,722,187,4,0,0,0,0,0,0,0,0,0,0,913,
CHICAGO,161,86,5,0,0,0,0,0,0,0,0,0,0,252,
DALLAS,1141,83,99,95,70,9,1,2,1,0,0,0,0,1501,
HOUSTON,627,53,64,49,17,6,5,2,0,0,0,0,0,823,
INDIANAPOLIS,1643,112,0,0,0,0,0,0,0,0,0,0,0,1755,
LOS ANGELES,1241,33,0,0,0,0,0,0,0,0,0,0,0,1274,
MEMPHIS,629,64,2,0,0,0,0,0,0,0,0,0,0,695,
MIAMI,966,526,18,1,0,0,0,0,0,0,0,0,0,1511,
NEW YORK,416,262,59,5,0,0,0,0,0,0,0,0,0,742,
OLC/HDQ,391,130,38,7,4,1,0,0,0,0,0,1,0,572,
PHILADELPHIA,404,587,186,60,73,0,0,0,0,0,0,0,0,1310,
PHOENIX,138,209,218,14,1,0,0,1,0,0,0,0,0,581,
SAN FRANCISCO,441,140,44,22,40,15,9,8,21,11,31,2,0,784,
ST. LOUIS,758,257,12,3,0,0,0,0,0,0,0,0,0,1030,
WFO,212,21,2,0,0,0,0,0,0,0,0,0,0,235,
Total,11658,3355,793,261,205,31,15,13,22,11,32,3,0,16399,
