Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,
NARA,15595,741,321,174,67,41,27,38,11,9,2,8,44,17078,
Total,15595,741,321,174,67,41,27,38,11,9,2,8,44,17078,
