Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,
BIS,60,11,1,1,1,1,0,0,0,0,0,0,0,75,
Census,203,18,2,1,0,0,0,0,0,0,0,0,0,224,
EDA,16,0,0,0,0,0,0,0,0,0,0,0,0,16,
ESA,10,2,0,0,0,0,0,0,0,0,0,0,0,12,
ITA,87,41,3,5,3,0,0,2,0,0,0,0,0,141,
MBDA,9,0,0,1,0,0,0,0,0,0,0,0,0,10,
NIST,119,24,5,4,2,1,1,0,0,0,1,0,0,157,
NOAA,413,0,0,0,0,0,0,0,0,0,0,0,0,413,
NTIA,42,1,0,0,0,0,0,0,0,0,0,0,0,43,
NTIS,20,0,0,0,0,0,0,0,0,0,0,0,0,20,
OIG,38,9,2,0,0,0,0,1,0,1,0,0,0,51,
OS,115,47,4,0,0,0,0,0,0,0,0,0,0,166,
PTO,94,250,30,1,0,0,0,0,0,0,0,0,0,375,
Total,1226,403,47,13,6,2,1,3,0,1,1,0,0,1703,
