Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,
BIA,141,0,0,0,0,0,0,0,0,0,0,0,0,141,
BLM,46,0,0,0,0,0,0,0,0,0,0,0,0,46,
BOR,3,0,0,0,0,0,0,0,0,0,0,0,0,3,
FWS,22,4,0,0,0,0,0,0,0,0,0,0,0,26,
MMS,2,0,0,0,0,0,0,0,0,0,0,0,0,2,
NPS,109,0,0,0,0,0,0,0,0,0,0,0,0,109,
OIG,1,1,3,1,0,0,0,0,0,1,0,0,0,7,
OS,17,0,0,0,0,0,0,0,0,0,0,0,0,17,
OSM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
SOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
USGS,7,0,0,0,0,0,0,0,0,0,0,0,0,7,
Total,348,5,3,1,0,0,0,0,0,1,0,0,0,358,
