Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,
FCC,416,117,33,12,5,1,1,2,0,0,4,1,2,594,
Total,416,117,33,12,5,1,1,2,0,0,4,1,2,594,
