Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,
HQ,38,37,24,24,17,10,13,9,8,15,26,11,6,238,
OIG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
R01,1,2,0,0,0,0,0,0,0,0,0,0,0,3,
R02,14,12,1,0,0,0,0,0,0,0,0,0,0,27,
R03,10,5,3,10,0,0,0,0,0,0,0,0,0,28,
R04,14,9,3,0,0,0,0,0,0,0,0,0,0,26,
R05,8,0,0,0,0,0,0,0,0,0,0,0,0,8,
R06,7,2,0,0,0,0,0,0,0,0,0,0,0,9,
R07,1,1,0,0,0,0,0,0,0,0,0,0,0,2,
R08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
R09,5,3,2,0,1,0,0,1,0,0,0,0,0,12,
R0X,3,0,1,0,0,1,0,0,0,0,0,0,0,5,
Total,101,71,34,34,18,11,13,10,8,15,26,11,6,358,
