Statute,Type of Information Withheld,Case Citation,Number of Times Relied upon per Component,Number of Times Relied upon per Component,Total Number of Times Relied upon by Agency
31 U.S.C. § 5319(Bank Secrecy Act),Reports pertaining to monetaryinstruments transactions filed under subchapter II ofchapter 53 of title 31 andrecords of those reports,"Hulstein v. DEA, No. 10-4112, 2011 U.S. Dist. LEXIS 25788, at *7-8 (N.D. Iowa Mar. 11, 2011); Berger v. IRS, 487 F. Supp. 2d 482, 496-97 (D.N.J. 2007), aff'd on other grounds, 288 F. App'x 829 (3d Cir. 2008), cert. denied, 129 S. Ct. 2789 (U.S. 2009); Sciba v. Bd. of Governors of the Fed. Reserve Sys., No. 04-1011, 2005 WL 3201206, at *6 (D.D.C. Nov. 4, 2005).",1,FRB,1
"44 U.S.C. § 3501, note (Confidential Information Protection and Statistical Efficiency Act of 2002)",Census coding for geographical locations.,,1,FRB,1
12 U.S.C. § 248(s)(6) (Dodd-Frank Wall Street Reform and Consumer Protection Act,Information on borrowers at the discount window,,1,FRB,1
