Component,,10th,9th,8th,7th,6th,5th,4th,3rd,2nd,Oldest Appeal
NLRB,Date of Receipt,,,,,,,,,2012-09-24,2011-08-23
NLRB,Number of Days Pending,,,,,,,,,4,277
