Component,,10th,9th,8th,7th,6th,5th,4th,3rd,2nd,Oldest Appeal
CIA,Date of Receipt,2001-01-22,2000-12-28,1999-11-24,1999-11-10,1998-10-27,1998-09-08,1995-12-01,1995-11-29,1995-07-10,1995-04-26
CIA,Number of Days Pending,3538,3563,3963,3977,4356,4405,5418,5420,5562,5637
