Statute,Type of Information Withheld,Case Citation,Number of Times Relied upon per Component,Number of Times Relied upon per Component,Total Number of Times Relied upon by Agency
49 U.S.C. § 1114(f),"Records or information relating to the NTSB?s participation in foreign aircraft accident investigations. 49 U.S.C. § 1114(f) prohibits the release of this information before the country conducting the investigation releases its report or 2 years following the accident, whichever occurs first",N/A,3,NTSB,3
49 U.S.C. § 1114(c)(1),"Cockpit Voice Recorder tapes.  Title 49 U.S.C. § 1114(c)(1) prohibits the release of any CVR tape.  However, the NTSB may release a CVR transcript (edited or unedited), in accordance with 49 U.S.C. § 1114(c)(1).",N/A,3,NTSB,3
