Component,,10th,9th,8th,7th,6th,5th,4th,3rd,2nd,Oldest Appeal
FCC,Date of Receipt,2012-09-27,2012-08-22,2012-08-09,2012-07-30,2012-07-18,2012-06-21,2012-05-04,2012-03-12,2012-02-24,2011-11-16
FCC,Number of Days Pending,1,26,35,43,51,70,103,142,153,220
