Component,Processing Costs,Litigation-Related Costs,Total Costs,Collected Amount,Collected Percentage,
DoS,12739833,721594,13461427,9711.11,0.08%,
OIG,253779,0,253779,0,0.0%,
Total,12993612,721594,13715206,9711,N/A,
