Component,Description,No. of Times Used,Total
FOIA/PA Appeals,FOIA/Privacy Act Appeals Office,2,55
FOIA/PA Appeals,FOIA/Privacy Act Appeals Office,1,55
FOIA/PA Appeals,FOIA/Privacy Act Appeals Office,1,55
FOIA/PA Appeals,FOIA/Privacy Act Appeals Office,6,55
FOIA/PA Appeals,FOIA/Privacy Act Appeals Office,1,55
FOIA/PA Appeals,FOIA/Privacy Act Appeals Office,4,55
FOIA/PA Appeals,FOIA/Privacy Act Appeals Office,8,55
FOIA/PA Appeals,FOIA/Privacy Act Appeals Office,1,55
FOIA/PA Appeals,FOIA/Privacy Act Appeals Office,27,55
FOIA/PA Appeals,FOIA/Privacy Act Appeals Office,1,55
FOIA/PA Appeals,FOIA/Privacy Act Appeals Office,1,55
FOIA/PA Appeals,FOIA/Privacy Act Appeals Office,2,55
Total,0,55,660
