Component,Simple,Simple,Simple,Simple,Complex,Complex,Complex,Complex,Expedited,Expedited,Expedited,Expedited
,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,Median No. of Days,Average No. of Days,Lowest No. of Days,Highest No. of Days,
ARC,18.5,17.29,,56,22.5,104.08,,533,,,,,
DFRC,30.5,40,4,103,38,82.86,26,288,,,,,
GRC,6.5,9.5,1,24,21,26.55,4,66,,,,,
GSFC,11.5,19,,77,34,36.28,1,93,,,,,
HQ,7.5,13.8,,145,26,111.41,4,896,,,,,
JPL,2.5,3.2,,6,7,7.92,1,20,,,,,
JSC,4,7.36,,21,24,30.4,,115,,,,,
KSC,13.5,13,7,19,32,47.43,3,121,,,,,
LaRC,2.5,2.93,,10,23.5,27,2,79,,,,,
MSFC,9,10.31,,26,18.5,22.12,3,63,,,,,
NSSC,10.5,10.5,3,18,11.5,21.25,4,78,,,,,
OIG,22,28.1,3,80,,,,,,,,,
SSC,7,7.5,3,13,,,,,,,,,
Total,9,14,0,145,24,50,0,896,0,0,0,0,
