Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,
AF,419,666,260,117,75,57,42,36,27,31,95,66,152,2043,
AFRICOM,0,0,1,0,0,0,0,0,0,0,0,0,0,1,
ARMY,2613,1240,903,688,1004,1296,691,333,323,290,1081,128,99,10689,
ASBCA,5,0,0,0,0,0,0,0,0,0,0,0,0,5,
CENTCOM,14,5,0,1,3,2,0,1,0,1,2,8,33,70,
DCAA,5,3,1,0,0,0,0,0,0,0,0,0,0,9,
DCMA,2,3,8,1,2,2,1,0,0,0,2,4,1,26,
DeCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
DFAS,12,11,1,1,1,0,0,0,0,0,0,0,0,26,
DIA,0,32,5,6,4,8,4,6,9,4,27,23,439,567,
DISA,0,49,15,5,2,1,2,0,0,0,14,5,6,99,
DLA,209,65,67,25,14,5,4,2,2,2,4,16,0,415,
DoDEA,0,0,4,2,0,0,0,0,0,0,1,0,0,7,
DoDIG,116,20,7,16,16,12,16,14,11,6,45,14,10,303,
DSS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
DTIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
DTRA,121,39,17,12,3,2,3,2,1,1,2,0,2,205,
EUCOM,0,0,0,1,0,0,0,0,2,0,0,1,0,4,
JFCOM,0,3,2,1,0,0,0,0,0,0,0,0,0,6,
NAVY,1587,504,378,88,275,145,163,38,33,33,102,74,183,3603,
NGA,13,9,5,1,2,2,0,1,2,1,8,11,54,109,
NGB,0,0,1,1,0,0,0,0,0,0,0,0,0,2,
NORTHCOM,3,0,0,0,0,0,0,0,0,0,0,0,0,3,
NRO,0,15,6,6,1,0,1,1,2,1,1,3,11,48,
NSA,0,0,0,0,0,0,0,0,0,0,4,1,21,26,
OSD/JS,115,138,91,85,36,45,36,29,21,21,112,94,536,1359,
PACOM,1,7,3,8,2,1,1,1,0,0,4,1,14,43,
SOCOM,3,6,2,2,2,8,7,5,5,3,42,52,13,150,
SOUTHCOM,0,10,19,17,8,10,17,6,10,21,9,5,6,138,
STRATCOM,3,3,2,0,0,0,0,0,0,0,0,0,0,8,
TRANSCOM,0,0,0,6,0,10,3,7,0,0,0,0,18,44,
TRICARE,0,18,5,0,4,1,4,4,0,0,0,0,0,36,
Total,5241,2846,1803,1090,1454,1607,995,486,448,415,1555,506,1598,20044,
