Statute,Type of Information Withheld,Case Citation,Number of Times Relied upon per Component,Number of Times Relied upon per Component,Total Number of Times Relied upon by Agency
50 U.S.C. § app. 2411(c),Information pertaining to license applications under the Export Administration Act,"Wis. Project on Nuclear Arms Control v. Dep?t of Commerce, 317 F.3d 275, 284 (D.C. Cir. 2003); Times Publ?g Co. v. U.S. Dep?t of Commerce, 236 F.3d 1286, 1292 (11th Cir. 2001).",1,OS,8
50 U.S.C. § app. 2411(c),Information pertaining to license applications under the Export Administration Act,"Wis. Project on Nuclear Arms Control v. Dep?t of Commerce, 317 F.3d 275, 284 (D.C. Cir. 2003); Times Publ?g Co. v. U.S. Dep?t of Commerce, 236 F.3d 1286, 1292 (11th Cir. 2001).",7,BIS,8
35 U.S.C. § 122,Applications for patents; certain information pertaining to applications for patents,"Irons & Sears v Dann, 606 F.2d 1215, 1219-21 (D.C. Cir. 1979)",1,OS,7
35 U.S.C. § 122,Applications for patents; certain information pertaining to applications for patents,"Irons & Sears v Dann, 606 F.2d 1215, 1219-21 (D.C. Cir. 1979)",6,PTO,7
"13 U.S.C. §§ 8(b), 9(a)",Certain Census data,"Baldrige v Shapiro, 455 U.S. 345, 355 (1982)",1,OS,35
"13 U.S.C. §§ 8(b), 9(a)",Certain Census data,"Baldrige v Shapiro, 455 U.S. 345, 355 (1982)",34,Census,35
5 U.S.C. app. § 107(a),FinFinancial disclosure information pertaining to certain government employees,"Meyerhoff v EPA, 958 F.2d 1498, 1500-02 (9th Cir. 1992); Concepcion v. FBI, 606 F. Supp.2d 14, 33 (D.D.C. 209), renewed motion for summary judgment granted in part on other grounds, 699F.Supp. 2d 106 (D.D.C. 2010)",1,NTIA,1
21 U.S.C.§ 331(j),Certain information ?concerning any method or process which as a trade secret is entitled to protection?,"Anderson v. HHS, 907 F.2d 936, 950-51 (10th Cir. 1990)",1,NOAA,1
13 U.S.C. § 301(g),Shippers? export declarations or successor documents,"Afr. Fund v. Mosbacher, No. 92 Civ. 289, 1993 WL 183736, at *5 (S.D.N.Y. May 26, 1993); Young Conservative Found., Inc. v. U.S. Dep?t of Commerce, No. 85-3982, 1987 WL 9244, at *2-3 (D.D.C. Mar. 25, 1987).",2,Census,2
41 U.S.C. § 253b(m)(1),Contractor proposals that are in the possession or control of an executive agency and that have not been set forth or incorporated by reference into contracts,"Margolin v. NASA, No. 09-CV-00421-LRH-VPC, 2022 WL 1303221, at *6 (D. Nev. Mar. 31, 2011); Hornbostel v U.S. Dep?t of Interior, 305 F. Supp. 2d 21, 30 (D.D.C. 2003), summary affirmance granted, No. 03-5257, 2004 WL 1900562 (D.C. Cir. Aug. 25, 2004).",7,NIST,18
41 U.S.C. § 253b(m)(1),Contractor proposals that are in the possession or control of an executive agency and that have not been set forth or incorporated by reference into contracts,"Margolin v. NASA, No. 09-CV-00421-LRH-VPC, 2022 WL 1303221, at *6 (D. Nev. Mar. 31, 2011); Hornbostel v U.S. Dep?t of Interior, 305 F. Supp. 2d 21, 30 (D.D.C. 2003), summary affirmance granted, No. 03-5257, 2004 WL 1900562 (D.C. Cir. Aug. 25, 2004).",6,NOAA,18
41 U.S.C. § 253b(m)(1),Contractor proposals that are in the possession or control of an executive agency and that have not been set forth or incorporated by reference into contracts,"Margolin v. NASA, No. 09-CV-00421-LRH-VPC, 2022 WL 1303221, at *6 (D. Nev. Mar. 31, 2011); Hornbostel v U.S. Dep?t of Interior, 305 F. Supp. 2d 21, 30 (D.D.C. 2003), summary affirmance granted, No. 03-5257, 2004 WL 1900562 (D.C. Cir. Aug. 25, 2004).",5,PTO,18
16 U.S.C. § 1881(a),Statistical information contained in fishery management plans.,N/A,1,OS,11
16 U.S.C. § 1881(a),Statistical information contained in fishery management plans.,N/A,10,NOAA,11
