Component,1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,
HQ,335,85,76,47,29,20,19,11,7,6,22,11,6,674,
OIG,84,26,6,3,5,1,1,1,0,0,0,0,0,127,
R01,44,42,7,5,0,0,0,0,0,0,0,0,0,98,
R02,98,28,1,1,0,0,0,0,0,0,0,0,0,128,
R03,125,36,2,0,0,0,0,0,0,0,0,0,0,163,
R04,180,22,2,1,0,1,0,0,0,0,0,0,0,206,
R05,124,27,1,0,0,0,0,0,0,0,0,0,0,152,
R06,185,19,0,0,0,0,0,0,0,0,0,0,0,204,
R07,19,24,0,0,0,0,0,0,0,0,0,0,0,43,
R08,76,22,4,4,0,0,0,0,0,0,0,0,0,106,
R09,115,56,2,0,0,0,0,0,0,0,0,0,0,173,
R0X,57,24,1,1,0,0,0,0,0,0,0,0,0,83,
Total,1442,411,102,62,34,22,20,12,7,6,22,11,6,2157,
