Component,Description,No. of Times Used,Total
ATLANTA,Files Lost,32,114
ATLANTA,Converted to Section 83,52,114
ATLANTA,Not Listed Above,1,114
ATLANTA,Files Destroyed,29,114
BIRMINGHAM,Converted to Section 83,1,31
BIRMINGHAM,Not Listed Above,6,31
BIRMINGHAM,Files Lost,14,31
BIRMINGHAM,Files Destroyed,10,31
CHARLOTTE,Files Lost,1,16
CHARLOTTE,Converted to Section 83,15,16
CHARLOTTE,Files Destroyed,0,16
CHARLOTTE,Not Listed Above,0,16
CHICAGO,Files Destroyed,45,48
CHICAGO,Files Lost,0,48
CHICAGO,Not Listed Above,0,48
CHICAGO,Converted to Section 83,3,48
DALLAS,Files Destroyed,21,73
DALLAS,Files Lost,10,73
DALLAS,Converted to Section 83,42,73
DALLAS,Not Listed Above,0,73
HOUSTON,Not Listed Above,0,24
HOUSTON,Converted to Section 83,5,24
HOUSTON,Files Lost,7,24
HOUSTON,Files Destroyed,12,24
INDIANAPOLIS,Not Listed Above,0,91
INDIANAPOLIS,Converted to Section 83,75,91
INDIANAPOLIS,Files Lost,0,91
INDIANAPOLIS,Files Destroyed,16,91
LOS ANGELES,Not Listed Above,0,17
LOS ANGELES,Files Lost,0,17
LOS ANGELES,Files Destroyed,16,17
LOS ANGELES,Converted to Section 83,1,17
MEMPHIS,Converted to Section 83,3,8
MEMPHIS,Files Destroyed,5,8
MEMPHIS,Not Listed Above,0,8
MEMPHIS,Files Lost,0,8
MIAMI,Files Lost,282,457
MIAMI,Not Listed Above,0,457
MIAMI,Converted to Section 83,125,457
MIAMI,Files Destroyed,50,457
NEW YORK,Files Destroyed,6,10
NEW YORK,Converted to Section 83,3,10
NEW YORK,Not Listed Above,0,10
NEW YORK,Files Lost,1,10
OLC/HDQ,Converted to Section 83,0,4
OLC/HDQ,Suit not filed on charge (EEO reports),4,4
OLC/HDQ,Files Destroyed,0,4
OLC/HDQ,Files Lost,0,4
PHILADELPHIA,Files Destroyed,13,82
PHILADELPHIA,Not Listed Above,0,82
PHILADELPHIA,Files Lost,42,82
PHILADELPHIA,Converted to Section 83,27,82
PHOENIX,Converted to Section 83,0,1
PHOENIX,Files Lost,0,1
PHOENIX,Not Listed Above,0,1
PHOENIX,Files Destroyed,1,1
SAN FRANCISCO,Files Lost,0,25
SAN FRANCISCO,Files Destroyed,25,25
SAN FRANCISCO,Converted to Section 83,0,25
SAN FRANCISCO,Not Listed Above,0,25
ST. LOUIS,Not Listed Above,0,12
ST. LOUIS,Converted to Section 83,12,12
ST. LOUIS,Files Lost,0,12
ST. LOUIS,Files Destroyed,0,12
WFO,Files Destroyed,0,4
WFO,Not Listed Above,0,4
WFO,Converted to Section 83,4,4
WFO,Files Lost,0,4
Total,0,1017,4068
