Component,,10th,9th,8th,7th,6th,5th,4th,3rd,2nd,Oldest Request
U.S. CPSC,Date of Receipt,2006-06-09,2006-04-27,2006-04-25,2005-11-29,2005-10-24,2005-09-09,2005-02-16,2004-08-30,2004-08-02,2004-07-29
U.S. CPSC,Number of Days Pending,540,583,584,585,605,755,869,952,997,1001
